"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Pombos (PE)","2018","27033"
"Primavera (PE)","2018","14831"
"Quipapá (PE)","2018","25896"
"Quixaba (PE)","2018","6822"
"Recife (PE)","2018","1637834"
"Riacho das Almas (PE)","2018","20443"
"Ribeirão (PE)","2018","47209"
"Rio Formoso (PE)","2018","23440"
"Sairé (PE)","2018","10103"
"Salgadinho (PE)","2018","10768"
"Salgueiro (PE)","2018","60604"
"Saloá (PE)","2018","15823"
"Sanharó (PE)","2018","26026"
"Santa Cruz (PE)","2018","15236"
"Santa Cruz da Baixa Verde (PE)","2018","12531"
"Santa Cruz do Capibaribe (PE)","2018","105936"
"Santa Filomena (PE)","2018","14390"
"Santa Maria da Boa Vista (PE)","2018","41759"
"Santa Maria do Cambucá (PE)","2018","14048"
"Santa Terezinha (PE)","2018","11764"
"São Benedito do Sul (PE)","2018","15717"
"São Bento do Una (PE)","2018","58956"
"São Caitano (PE)","2018","37119"
"São João (PE)","2018","22686"
"São Joaquim do Monte (PE)","2018","21314"
"São José da Coroa Grande (PE)","2018","21004"
"São José do Belmonte (PE)","2018","33895"
"São José do Egito (PE)","2018","33789"
"São Lourenço da Mata (PE)","2018","112362"
"São Vicente Férrer (PE)","2018","17950"
"Serra Talhada (PE)","2018","85774"
"Serrita (PE)","2018","19133"
"Sertânia (PE)","2018","35761"
"Sirinhaém (PE)","2018","45359"
"Moreilândia (PE)","2018","11270"
"Solidão (PE)","2018","5993"
"Surubim (PE)","2018","64520"
"Tabira (PE)","2018","28371"
"Tacaimbó (PE)","2018","12890"
"Tacaratu (PE)","2018","25417"
"Tamandaré (PE)","2018","23149"
"Taquaritinga do Norte (PE)","2018","28416"
"Terezinha (PE)","2018","7139"
"Terra Nova (PE)","2018","9983"
"Timbaúba (PE)","2018","50956"
"Toritama (PE)","2018","44254"
"Tracunhaém (PE)","2018","13724"
"Trindade (PE)","2018","30222"
"Triunfo (PE)","2018","15265"
"Tupanatinga (PE)","2018","27052"
"Tuparetama (PE)","2018","8192"
"Venturosa (PE)","2018","18298"
"Verdejante (PE)","2018","9514"
"Vertente do Lério (PE)","2018","7666"
"Vertentes (PE)","2018","20503"
"Vicência (PE)","2018","32513"
"Vitória de Santo Antão (PE)","2018","137915"
"Xexéu (PE)","2018","14691"
"Água Branca (AL)","2018","20162"
"Anadia (AL)","2018","17564"
"Arapiraca (AL)","2018","230417"
"Atalaia (AL)","2018","47000"
"Barra de Santo Antônio (AL)","2018","15792"
"Barra de São Miguel (AL)","2018","8264"
"Batalha (AL)","2018","18455"
"Belém (AL)","2018","4406"
"Belo Monte (AL)","2018","6696"
"Boca da Mata (AL)","2018","27168"
"Branquinha (AL)","2018","10529"
"Cacimbinhas (AL)","2018","10730"
"Cajueiro (AL)","2018","21194"
"Campestre (AL)","2018","6918"
"Campo Alegre (AL)","2018","56579"
"Campo Grande (AL)","2018","9549"
"Canapi (AL)","2018","17726"
"Capela (AL)","2018","17124"
"Carneiros (AL)","2018","9000"
"Chã Preta (AL)","2018","7319"
"Coité do Nóia (AL)","2018","10744"
"Colônia Leopoldina (AL)","2018","21575"
"Coqueiro Seco (AL)","2018","5826"
"Coruripe (AL)","2018","56562"
"Craíbas (AL)","2018","24129"
"Delmiro Gouveia (AL)","2018","51763"
"Dois Riachos (AL)","2018","11054"
"Estrela de Alagoas (AL)","2018","18153"
"Feira Grande (AL)","2018","22152"
"Feliz Deserto (AL)","2018","4729"
"Flexeiras (AL)","2018","12773"
"Girau do Ponciano (AL)","2018","40588"
"Ibateguara (AL)","2018","15606"
"Igaci (AL)","2018","25649"
"Igreja Nova (AL)","2018","24408"
"Inhapi (AL)","2018","18378"
"Jacaré dos Homens (AL)","2018","5288"
"Jacuípe (AL)","2018","7036"
"Japaratinga (AL)","2018","8317"
"Jaramataia (AL)","2018","5597"
"Jequiá da Praia (AL)","2018","11624"
"Joaquim Gomes (AL)","2018","23903"
"Jundiá (AL)","2018","4175"
"Junqueiro (AL)","2018","24731"
"Lagoa da Canoa (AL)","2018","17934"
"Limoeiro de Anadia (AL)","2018","28495"
"Maceió (AL)","2018","1012382"
"Major Isidoro (AL)","2018","19891"
"Maragogi (AL)","2018","32369"
"Maravilha (AL)","2018","9326"
"Marechal Deodoro (AL)","2018","51364"
"Maribondo (AL)","2018","13337"
"Mar Vermelho (AL)","2018","3534"
"Mata Grande (AL)","2018","25226"
"Matriz de Camaragibe (AL)","2018","24649"
"Messias (AL)","2018","17676"
"Minador do Negrão (AL)","2018","5337"
"Monteirópolis (AL)","2018","7153"
"Murici (AL)","2018","28137"
"Novo Lino (AL)","2018","12615"
"Olho d'Água das Flores (AL)","2018","21437"
"Olho d'Água do Casado (AL)","2018","9303"
"Olho d'Água Grande (AL)","2018","5117"
"Olivença (AL)","2018","11591"
"Ouro Branco (AL)","2018","11456"
"Palestina (AL)","2018","4985"
"Palmeira dos Índios (AL)","2018","73096"
"Pão de Açúcar (AL)","2018","24446"
"Pariconha (AL)","2018","10527"
"Paripueira (AL)","2018","13016"
"Passo de Camaragibe (AL)","2018","15232"
"Paulo Jacinto (AL)","2018","7568"
"Penedo (AL)","2018","63516"
"Piaçabuçu (AL)","2018","17805"
"Pilar (AL)","2018","35008"
"Pindoba (AL)","2018","2911"
"Piranhas (AL)","2018","24891"
"Poço das Trincheiras (AL)","2018","14354"
"Porto Calvo (AL)","2018","27079"
"Porto de Pedras (AL)","2018","7873"
"Porto Real do Colégio (AL)","2018","20018"
"Quebrangulo (AL)","2018","11342"
"Rio Largo (AL)","2018","74838"
"Roteiro (AL)","2018","6680"
"Santa Luzia do Norte (AL)","2018","7272"
"Santana do Ipanema (AL)","2018","47486"
"Santana do Mundaú (AL)","2018","10755"
"São Brás (AL)","2018","6953"
"São José da Laje (AL)","2018","23855"
"São José da Tapera (AL)","2018","32111"
"São Luís do Quitunde (AL)","2018","34415"
"São Miguel dos Campos (AL)","2018","60775"
"São Miguel dos Milagres (AL)","2018","7888"
"São Sebastião (AL)","2018","34011"
"Satuba (AL)","2018","13716"
"Senador Rui Palmeira (AL)","2018","13818"
"Tanque d'Arca (AL)","2018","6187"
"Taquarana (AL)","2018","19886"
"Teotônio Vilela (AL)","2018","43960"
"Traipu (AL)","2018","27632"
"União dos Palmares (AL)","2018","65461"
"Viçosa (AL)","2018","25773"
"Amparo do São Francisco (SE)","2018","2368"
"Aquidabã (SE)","2018","21443"
"Aracaju (SE)","2018","648939"
"Arauá (SE)","2018","10168"
"Areia Branca (SE)","2018","18396"
"Barra dos Coqueiros (SE)","2018","29873"
"Boquim (SE)","2018","26731"
"Brejo Grande (SE)","2018","8264"
"Campo do Brito (SE)","2018","17997"
"Canhoba (SE)","2018","4011"
"Canindé de São Francisco (SE)","2018","29430"
"Capela (SE)","2018","33904"
"Carira (SE)","2018","21724"
"Carmópolis (SE)","2018","16324"
"Cedro de São João (SE)","2018","5880"
"Cristinápolis (SE)","2018","18190"
"Cumbe (SE)","2018","3977"
"Divina Pastora (SE)","2018","5059"
"Estância (SE)","2018","68804"
"Feira Nova (SE)","2018","5567"
"Frei Paulo (SE)","2018","15283"
"Gararu (SE)","2018","11606"
"General Maynard (SE)","2018","3307"
"Gracho Cardoso (SE)","2018","5811"
"Ilha das Flores (SE)","2018","8519"
"Indiaroba (SE)","2018","17761"
"Itabaiana (SE)","2018","94696"
"Itabaianinha (SE)","2018","41684"
"Itabi (SE)","2018","4921"
"Itaporanga d'Ajuda (SE)","2018","33994"
"Japaratuba (SE)","2018","18576"
"Japoatã (SE)","2018","13085"
"Lagarto (SE)","2018","103576"
"Laranjeiras (SE)","2018","29567"
"Macambira (SE)","2018","6877"
"Malhada dos Bois (SE)","2018","3665"
"Malhador (SE)","2018","12581"
"Maruim (SE)","2018","17153"
"Moita Bonita (SE)","2018","11322"
"Monte Alegre de Sergipe (SE)","2018","15120"
"Muribeca (SE)","2018","7610"
"Neópolis (SE)","2018","18735"
"Nossa Senhora Aparecida (SE)","2018","8783"
"Nossa Senhora da Glória (SE)","2018","36514"
"Nossa Senhora das Dores (SE)","2018","26460"
"Nossa Senhora de Lourdes (SE)","2018","6470"
"Nossa Senhora do Socorro (SE)","2018","181503"
"Pacatuba (SE)","2018","14347"
"Pedra Mole (SE)","2018","3236"
"Pedrinhas (SE)","2018","9538"
"Pinhão (SE)","2018","6523"
"Pirambu (SE)","2018","9199"
"Poço Redondo (SE)","2018","34412"
"Poço Verde (SE)","2018","23586"
"Porto da Folha (SE)","2018","28497"
"Propriá (SE)","2018","29559"
"Riachão do Dantas (SE)","2018","19800"
"Riachuelo (SE)","2018","10140"
"Ribeirópolis (SE)","2018","18528"
"Rosário do Catete (SE)","2018","10697"
"Salgado (SE)","2018","19970"
"Santa Luzia do Itanhy (SE)","2018","13947"
"Santana do São Francisco (SE)","2018","7714"
"Santa Rosa de Lima (SE)","2018","3904"
"Santo Amaro das Brotas (SE)","2018","12051"
"São Cristóvão (SE)","2018","89027"
"São Domingos (SE)","2018","11065"
"São Francisco (SE)","2018","3987"
"São Miguel do Aleixo (SE)","2018","3913"
"Simão Dias (SE)","2018","40486"
"Siriri (SE)","2018","8813"
"Telha (SE)","2018","3204"
"Tobias Barreto (SE)","2018","51843"
"Tomar do Geru (SE)","2018","13061"
"Umbaúba (SE)","2018","25033"
"Abaíra (BA)","2018","8767"
"Abaré (BA)","2018","19814"
"Acajutiba (BA)","2018","15129"
"Adustina (BA)","2018","16784"
"Água Fria (BA)","2018","16901"
"Érico Cardoso (BA)","2018","10662"
"Aiquara (BA)","2018","4478"
"Alagoinhas (BA)","2018","150832"
"Alcobaça (BA)","2018","22449"
"Almadina (BA)","2018","5566"
"Amargosa (BA)","2018","37031"
"Amélia Rodrigues (BA)","2018","25224"
"América Dourada (BA)","2018","16097"
"Anagé (BA)","2018","18194"
"Andaraí (BA)","2018","13153"
"Andorinha (BA)","2018","14690"
"Angical (BA)","2018","14017"
"Anguera (BA)","2018","11142"
"Antas (BA)","2018","19093"
"Antônio Cardoso (BA)","2018","11691"
"Antônio Gonçalves (BA)","2018","11715"
"Aporá (BA)","2018","17673"
"Apuarema (BA)","2018","7360"
"Aracatu (BA)","2018","13229"
"Araçás (BA)","2018","12143"
"Araci (BA)","2018","54099"
"Aramari (BA)","2018","11332"
"Arataca (BA)","2018","11079"
"Aratuípe (BA)","2018","8813"
"Aurelino Leal (BA)","2018","11774"
"Baianópolis (BA)","2018","13824"
"Baixa Grande (BA)","2018","20488"
"Banzaê (BA)","2018","13217"
"Barra (BA)","2018","53231"
"Barra da Estiva (BA)","2018","20813"
"Barra do Choça (BA)","2018","32018"
"Barra do Mendes (BA)","2018","13900"
"Barra do Rocha (BA)","2018","5821"
"Barreiras (BA)","2018","153831"
"Barro Alto (BA)","2018","14802"
"Barrocas (BA)","2018","15846"
"Barro Preto (BA)","2018","5743"
"Belmonte (BA)","2018","23214"
"Belo Campo (BA)","2018","17317"
"Biritinga (BA)","2018","15975"
"Boa Nova (BA)","2018","12953"
"Boa Vista do Tupim (BA)","2018","18622"
"Bom Jesus da Lapa (BA)","2018","68609"
"Bom Jesus da Serra (BA)","2018","9942"
"Boninal (BA)","2018","14288"
"Bonito (BA)","2018","16637"
"Boquira (BA)","2018","21520"
"Botuporã (BA)","2018","10300"
"Brejões (BA)","2018","14370"
"Brejolândia (BA)","2018","10493"
"Brotas de Macaúbas (BA)","2018","10341"
"Brumado (BA)","2018","67048"
"Buerarema (BA)","2018","18391"
"Buritirama (BA)","2018","21067"
"Caatiba (BA)","2018","7043"
"Cabaceiras do Paraguaçu (BA)","2018","18698"
"Cachoeira (BA)","2018","33861"
"Caculé (BA)","2018","23045"
"Caém (BA)","2018","9372"
"Caetanos (BA)","2018","15524"
"Caetité (BA)","2018","50861"
"Cafarnaum (BA)","2018","18356"
"Cairu (BA)","2018","17913"
"Caldeirão Grande (BA)","2018","13260"
"Camacan (BA)","2018","31968"
"Camaçari (BA)","2018","293723"
"Camamu (BA)","2018","35248"
"Campo Alegre de Lourdes (BA)","2018","28844"
"Campo Formoso (BA)","2018","70912"
"Canápolis (BA)","2018","9719"
"Canarana (BA)","2018","26020"
"Canavieiras (BA)","2018","31301"
"Candeal (BA)","2018","8338"
"Candeias (BA)","2018","86677"
"Candiba (BA)","2018","14268"
"Cândido Sales (BA)","2018","25332"
"Cansanção (BA)","2018","34784"
"Canudos (BA)","2018","16752"
"Capela do Alto Alegre (BA)","2018","11660"
"Capim Grosso (BA)","2018","30451"
"Caraíbas (BA)","2018","9107"
"Caravelas (BA)","2018","21937"
"Cardeal da Silva (BA)","2018","9240"
"Carinhanha (BA)","2018","28965"
"Casa Nova (BA)","2018","71366"
"Castro Alves (BA)","2018","26209"
"Catolândia (BA)","2018","3555"
"Catu (BA)","2018","54424"
"Caturama (BA)","2018","9340"
"Central (BA)","2018","17252"
"Chorrochó (BA)","2018","11154"
"Cícero Dantas (BA)","2018","33356"
"Cipó (BA)","2018","17097"
"Coaraci (BA)","2018","17458"
"Cocos (BA)","2018","18746"
"Conceição da Feira (BA)","2018","22392"
"Conceição do Almeida (BA)","2018","17332"
"Conceição do Coité (BA)","2018","66191"
"Conceição do Jacuípe (BA)","2018","32909"
"Conde (BA)","2018","25630"
"Condeúba (BA)","2018","17319"
"Contendas do Sincorá (BA)","2018","4086"
"Coração de Maria (BA)","2018","22719"
"Cordeiros (BA)","2018","8585"
"Coribe (BA)","2018","14240"
"Coronel João Sá (BA)","2018","15801"
"Correntina (BA)","2018","32081"
"Cotegipe (BA)","2018","13796"
"Cravolândia (BA)","2018","5349"
"Crisópolis (BA)","2018","21040"
"Cristópolis (BA)","2018","13872"
"Cruz das Almas (BA)","2018","62871"
"Curaçá (BA)","2018","34389"
"Dário Meira (BA)","2018","10906"
"Dias d'Ávila (BA)","2018","79685"
"Dom Basílio (BA)","2018","12155"
"Dom Macedo Costa (BA)","2018","4050"
"Elísio Medrado (BA)","2018","8119"
"Encruzilhada (BA)","2018","17593"
"Entre Rios (BA)","2018","41654"
"Esplanada (BA)","2018","36882"
"Euclides da Cunha (BA)","2018","59842"
"Eunápolis (BA)","2018","112318"
"Fátima (BA)","2018","17601"
"Feira da Mata (BA)","2018","5668"
"Feira de Santana (BA)","2018","609913"
"Filadélfia (BA)","2018","16410"
"Firmino Alves (BA)","2018","5604"
"Floresta Azul (BA)","2018","10686"
"Formosa do Rio Preto (BA)","2018","25311"
"Gandu (BA)","2018","32202"
"Gavião (BA)","2018","4487"
"Gentio do Ouro (BA)","2018","11206"
"Glória (BA)","2018","15208"
"Gongogi (BA)","2018","7276"
"Governador Mangabeira (BA)","2018","20679"
"Guajeru (BA)","2018","7239"
"Guanambi (BA)","2018","84014"
"Guaratinga (BA)","2018","20991"
"Heliópolis (BA)","2018","13076"
"Iaçu (BA)","2018","24496"
"Ibiassucê (BA)","2018","9427"
"Ibicaraí (BA)","2018","22014"
"Ibicoara (BA)","2018","19346"
"Ibicuí (BA)","2018","16162"
"Ibipeba (BA)","2018","18097"
"Ibipitanga (BA)","2018","14856"
"Ibiquera (BA)","2018","4043"
"Ibirapitanga (BA)","2018","23343"
"Ibirapuã (BA)","2018","8581"
"Ibirataia (BA)","2018","15760"
"Ibitiara (BA)","2018","16272"
"Ibititá (BA)","2018","17150"
"Ibotirama (BA)","2018","26846"
"Ichu (BA)","2018","6194"
"Igaporã (BA)","2018","15630"
"Igrapiúna (BA)","2018","13367"
"Iguaí (BA)","2018","26868"
"Ilhéus (BA)","2018","164844"
"Inhambupe (BA)","2018","39499"
"Ipecaetá (BA)","2018","14625"
"Ipiaú (BA)","2018","45823"
"Ipirá (BA)","2018","59763"
"Ipupiara (BA)","2018","9817"
"Irajuba (BA)","2018","7243"
"Iramaia (BA)","2018","8893"
"Iraquara (BA)","2018","24942"
"Irará (BA)","2018","28892"
"Irecê (BA)","2018","72386"
"Itabela (BA)","2018","30413"
"Itaberaba (BA)","2018","64325"
"Itabuna (BA)","2018","212740"
"Itacaré (BA)","2018","27891"
"Itaeté (BA)","2018","15999"
"Itagi (BA)","2018","12462"
"Itagibá (BA)","2018","14712"
"Itagimirim (BA)","2018","6914"
"Itaguaçu da Bahia (BA)","2018","14311"
"Itaju do Colônia (BA)","2018","6770"
"Itajuípe (BA)","2018","20587"
"Itamaraju (BA)","2018","64521"
"Itamari (BA)","2018","8069"
"Itambé (BA)","2018","23358"
"Itanagra (BA)","2018","6445"
"Itanhém (BA)","2018","19499"
"Itaparica (BA)","2018","22114"
"Itapé (BA)","2018","9008"
"Itapebi (BA)","2018","10306"
"Itapetinga (BA)","2018","75470"
"Itapicuru (BA)","2018","35256"
"Itapitanga (BA)","2018","10328"
"Itaquara (BA)","2018","8288"
"Itarantim (BA)","2018","19646"
"Itatim (BA)","2018","14432"
"Itiruçu (BA)","2018","12624"
"Itiúba (BA)","2018","36063"
"Itororó (BA)","2018","20375"
"Ituaçu (BA)","2018","18889"
"Ituberá (BA)","2018","28457"
"Iuiu (BA)","2018","10969"
"Jaborandi (BA)","2018","8496"
"Jacaraci (BA)","2018","14834"
"Jacobina (BA)","2018","80394"
"Jaguaquara (BA)","2018","54163"
"Jaguarari (BA)","2018","33385"
"Jaguaripe (BA)","2018","18588"
"Jandaíra (BA)","2018","10691"
"Jequié (BA)","2018","155800"
"Jeremoabo (BA)","2018","40232"
"Jiquiriçá (BA)","2018","14516"
"Jitaúna (BA)","2018","11540"
"João Dourado (BA)","2018","24964"
"Juazeiro (BA)","2018","215183"
"Jucuruçu (BA)","2018","9272"
"Jussara (BA)","2018","15307"
"Jussari (BA)","2018","5902"
"Jussiape (BA)","2018","6406"
"Lafaiete Coutinho (BA)","2018","3757"
"Lagoa Real (BA)","2018","15555"
"Laje (BA)","2018","23638"
"Lajedão (BA)","2018","3934"
"Lajedinho (BA)","2018","3808"
"Lajedo do Tabocal (BA)","2018","8546"
"Lamarão (BA)","2018","8430"
"Lapão (BA)","2018","27170"
"Lauro de Freitas (BA)","2018","195095"
"Lençóis (BA)","2018","11315"
"Licínio de Almeida (BA)","2018","12406"
"Livramento de Nossa Senhora (BA)","2018","45388"
"Luís Eduardo Magalhães (BA)","2018","84753"
"Macajuba (BA)","2018","11364"
"Macarani (BA)","2018","18592"
"Macaúbas (BA)","2018","49474"
"Macururé (BA)","2018","7862"
"Madre de Deus (BA)","2018","20737"
"Maetinga (BA)","2018","3577"
"Maiquinique (BA)","2018","10016"
"Mairi (BA)","2018","18753"
"Malhada (BA)","2018","16830"
"Malhada de Pedras (BA)","2018","8430"
"Manoel Vitorino (BA)","2018","13397"
"Mansidão (BA)","2018","13546"
"Maracás (BA)","2018","21295"
"Maragogipe (BA)","2018","44555"
"Maraú (BA)","2018","20518"
"Marcionílio Souza (BA)","2018","10434"
"Mascote (BA)","2018","13931"
"Mata de São João (BA)","2018","46014"
"Matina (BA)","2018","12116"
"Medeiros Neto (BA)","2018","22659"
"Miguel Calmon (BA)","2018","26159"
"Milagres (BA)","2018","11009"
"Mirangaba (BA)","2018","18195"
"Mirante (BA)","2018","8844"
"Monte Santo (BA)","2018","49565"
"Morpará (BA)","2018","8542"
"Morro do Chapéu (BA)","2018","35383"
"Mortugaba (BA)","2018","12031"
"Mucugê (BA)","2018","9244"
"Mucuri (BA)","2018","41221"
"Mulungu do Morro (BA)","2018","11114"
"Mundo Novo (BA)","2018","26575"
"Muniz Ferreira (BA)","2018","7399"
"Muquém do São Francisco (BA)","2018","11280"
"Muritiba (BA)","2018","29387"
"Mutuípe (BA)","2018","22156"
"Nazaré (BA)","2018","28451"
"Nilo Peçanha (BA)","2018","13914"
"Nordestina (BA)","2018","13095"
"Nova Canaã (BA)","2018","16451"
"Nova Fátima (BA)","2018","7802"
"Nova Ibiá (BA)","2018","6631"
"Nova Itarana (BA)","2018","8172"
"Nova Redenção (BA)","2018","9115"
"Nova Soure (BA)","2018","24493"
"Nova Viçosa (BA)","2018","42950"
"Novo Horizonte (BA)","2018","12241"
"Novo Triunfo (BA)","2018","15380"
"Olindina (BA)","2018","28152"
"Oliveira dos Brejinhos (BA)","2018","21838"
"Ouriçangas (BA)","2018","8557"
"Ourolândia (BA)","2018","17389"
"Palmas de Monte Alto (BA)","2018","21703"
"Palmeiras (BA)","2018","8961"
"Paramirim (BA)","2018","21518"
"Paratinga (BA)","2018","31853"
"Paripiranga (BA)","2018","28956"
"Pau Brasil (BA)","2018","9981"
"Paulo Afonso (BA)","2018","117014"
"Pé de Serra (BA)","2018","13601"
"Pedrão (BA)","2018","7298"
"Pedro Alexandre (BA)","2018","17486"
"Piatã (BA)","2018","17269"
"Pilão Arcado (BA)","2018","34486"
"Pindaí (BA)","2018","16234"
"Pindobaçu (BA)","2018","20204"
"Pintadas (BA)","2018","10482"
"Piraí do Norte (BA)","2018","10007"
"Piripá (BA)","2018","10952"
"Piritiba (BA)","2018","24538"
"Planaltino (BA)","2018","9272"
"Planalto (BA)","2018","26092"
"Poções (BA)","2018","46862"
"Pojuca (BA)","2018","39045"
"Ponto Novo (BA)","2018","15012"
"Porto Seguro (BA)","2018","146625"
"Potiraguá (BA)","2018","7549"
"Prado (BA)","2018","28152"
"Presidente Dutra (BA)","2018","15121"
"Presidente Jânio Quadros (BA)","2018","12505"
"Presidente Tancredo Neves (BA)","2018","27422"
"Queimadas (BA)","2018","25445"
"Quijingue (BA)","2018","27533"
"Quixabeira (BA)","2018","8990"
"Rafael Jambeiro (BA)","2018","22610"
"Remanso (BA)","2018","41200"
"Retirolândia (BA)","2018","14295"
"Riachão das Neves (BA)","2018","22343"
"Riachão do Jacuípe (BA)","2018","33403"
"Riacho de Santana (BA)","2018","35240"
"Ribeira do Amparo (BA)","2018","14843"
"Ribeira do Pombal (BA)","2018","52956"
"Ribeirão do Largo (BA)","2018","6304"
"Rio de Contas (BA)","2018","13048"
"Rio do Antônio (BA)","2018","15289"
"Rio do Pires (BA)","2018","11645"
"Rio Real (BA)","2018","40475"
"Rodelas (BA)","2018","9213"
"Ruy Barbosa (BA)","2018","30767"
"Salinas da Margarida (BA)","2018","15463"
"Salvador (BA)","2018","2857329"
"Santa Bárbara (BA)","2018","20694"
"Santa Brígida (BA)","2018","14088"
"Santa Cruz Cabrália (BA)","2018","27626"
"Santa Cruz da Vitória (BA)","2018","6354"
"Santa Inês (BA)","2018","10656"
"Santaluz (BA)","2018","37158"
"Santa Luzia (BA)","2018","12751"
"Santa Maria da Vitória (BA)","2018","39920"
"Santana (BA)","2018","26517"
"Santanópolis (BA)","2018","8920"
"Santa Rita de Cássia (BA)","2018","28192"
"Santa Terezinha (BA)","2018","10345"
"Santo Amaro (BA)","2018","59512"
"Santo Antônio de Jesus (BA)","2018","100605"
"Santo Estêvão (BA)","2018","52413"
"São Desidério (BA)","2018","33193"
"São Domingos (BA)","2018","9042"
"São Félix (BA)","2018","14717"
"São Félix do Coribe (BA)","2018","15310"
"São Felipe (BA)","2018","21069"
"São Francisco do Conde (BA)","2018","39338"
"São Gabriel (BA)","2018","18798"
"São Gonçalo dos Campos (BA)","2018","37139"
"São José da Vitória (BA)","2018","5710"
"São José do Jacuípe (BA)","2018","10417"
"São Miguel das Matas (BA)","2018","11645"
"São Sebastião do Passé (BA)","2018","44164"
"Sapeaçu (BA)","2018","17387"
"Sátiro Dias (BA)","2018","19644"
"Saubara (BA)","2018","11978"
"Saúde (BA)","2018","12883"
"Seabra (BA)","2018","43941"
"Sebastião Laranjeiras (BA)","2018","11351"
"Senhor do Bonfim (BA)","2018","78588"
"Serra do Ramalho (BA)","2018","31532"
"Sento Sé (BA)","2018","40703"
"Serra Dourada (BA)","2018","17452"
"Serra Preta (BA)","2018","15064"
"Serrinha (BA)","2018","80411"
"Serrolândia (BA)","2018","13347"
"Simões Filho (BA)","2018","132906"
"Sítio do Mato (BA)","2018","12965"
"Sítio do Quinto (BA)","2018","10316"
"Sobradinho (BA)","2018","22806"
"Souto Soares (BA)","2018","16905"
"Tabocas do Brejo Velho (BA)","2018","12517"
"Tanhaçu (BA)","2018","20416"
"Tanque Novo (BA)","2018","17285"
"Tanquinho (BA)","2018","7909"
"Taperoá (BA)","2018","20889"
"Tapiramutá (BA)","2018","17046"
"Teixeira de Freitas (BA)","2018","158445"
"Teodoro Sampaio (BA)","2018","7493"
"Teofilândia (BA)","2018","22479"
"Teolândia (BA)","2018","14860"
"Terra Nova (BA)","2018","12965"
"Tremedal (BA)","2018","16608"
"Tucano (BA)","2018","50568"
"Uauá (BA)","2018","24486"
"Ubaíra (BA)","2018","19914"
"Ubaitaba (BA)","2018","19275"
"Ubatã (BA)","2018","26795"
"Uibaí (BA)","2018","13884"
"Umburanas (BA)","2018","19034"
"Una (BA)","2018","19484"
"Urandi (BA)","2018","16651"
"Uruçuca (BA)","2018","20630"
"Utinga (BA)","2018","19098"
"Valença (BA)","2018","95858"
"Valente (BA)","2018","28130"
"Várzea da Roça (BA)","2018","14087"
"Várzea do Poço (BA)","2018","9130"
"Várzea Nova (BA)","2018","12772"
"Varzedo (BA)","2018","8895"
"Vera Cruz (BA)","2018","42706"
"Vereda (BA)","2018","6258"
"Vitória da Conquista (BA)","2018","338885"
"Wagner (BA)","2018","9347"
"Wanderley (BA)","2018","12299"
"Wenceslau Guimarães (BA)","2018","21228"
"Xique-Xique (BA)","2018","46440"
"Abadia dos Dourados (MG)","2018","6972"
"Abaeté (MG)","2018","23223"
"Abre Campo (MG)","2018","13465"
"Acaiaca (MG)","2018","3994"
"Açucena (MG)","2018","9575"
"Água Boa (MG)","2018","13600"
"Água Comprida (MG)","2018","2005"
"Aguanil (MG)","2018","4448"
"Águas Formosas (MG)","2018","19166"
"Águas Vermelhas (MG)","2018","13477"
"Aimorés (MG)","2018","25193"
"Aiuruoca (MG)","2018","6032"
"Alagoa (MG)","2018","2683"
"Albertina (MG)","2018","3003"
"Além Paraíba (MG)","2018","35321"
"Alfenas (MG)","2018","79481"
"Alfredo Vasconcelos (MG)","2018","6831"
"Almenara (MG)","2018","41642"
"Alpercata (MG)","2018","7411"
"Alpinópolis (MG)","2018","19745"
"Alterosa (MG)","2018","14414"
"Alto Caparaó (MG)","2018","5799"
"Alto Rio Doce (MG)","2018","11146"
"Alvarenga (MG)","2018","3973"
"Alvinópolis (MG)","2018","15239"
"Alvorada de Minas (MG)","2018","3606"
"Amparo do Serra (MG)","2018","4751"
"Andradas (MG)","2018","40747"
"Cachoeira de Pajeú (MG)","2018","9382"
"Andrelândia (MG)","2018","12242"
"Angelândia (MG)","2018","8481"
"Antônio Carlos (MG)","2018","11432"
"Antônio Dias (MG)","2018","9363"
"Antônio Prado de Minas (MG)","2018","1609"
"Araçaí (MG)","2018","2341"
"Aracitaba (MG)","2018","2066"
"Araçuaí (MG)","2018","36705"
"Araguari (MG)","2018","116691"
"Arantina (MG)","2018","2804"
"Araponga (MG)","2018","8425"
"Araporã (MG)","2018","6804"
"Arapuá (MG)","2018","2833"
"Araújos (MG)","2018","9142"
"Araxá (MG)","2018","105083"
"Arceburgo (MG)","2018","10657"
"Arcos (MG)","2018","39793"
"Areado (MG)","2018","14955"
"Argirita (MG)","2018","2751"
"Aricanduva (MG)","2018","5191"
"Arinos (MG)","2018","17888"
"Astolfo Dutra (MG)","2018","14085"
"Ataléia (MG)","2018","13064"
"Augusto de Lima (MG)","2018","4888"
"Baependi (MG)","2018","19094"
"Baldim (MG)","2018","7851"
"Bambuí (MG)","2018","23757"
"Bandeira (MG)","2018","4825"
"Bandeira do Sul (MG)","2018","5713"
"Barão de Cocais (MG)","2018","32319"
"Barão de Monte Alto (MG)","2018","5443"
"Barbacena (MG)","2018","136392"
"Barra Longa (MG)","2018","5250"
"Barroso (MG)","2018","20720"
