"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Altamira (PA)","2018","113195"
"Anajás (PA)","2018","28859"
"Ananindeua (PA)","2018","525566"
"Anapu (PA)","2018","27161"
"Augusto Corrêa (PA)","2018","45516"
"Aurora do Pará (PA)","2018","30896"
"Aveiro (PA)","2018","16371"
"Bagre (PA)","2018","30009"
"Baião (PA)","2018","46416"
"Bannach (PA)","2018","3310"
"Barcarena (PA)","2018","122294"
"Belém (PA)","2018","1485732"
"Belterra (PA)","2018","17624"
"Benevides (PA)","2018","61689"
"Bom Jesus do Tocantins (PA)","2018","16841"
"Bonito (PA)","2018","16038"
"Bragança (PA)","2018","126436"
"Brasil Novo (PA)","2018","15190"
"Brejo Grande do Araguaia (PA)","2018","7392"
"Breu Branco (PA)","2018","64738"
"Breves (PA)","2018","101891"
"Bujaru (PA)","2018","28832"
"Cachoeira do Piriá (PA)","2018","33178"
"Cachoeira do Arari (PA)","2018","23466"
"Cametá (PA)","2018","136390"
"Canaã dos Carajás (PA)","2018","36050"
"Capanema (PA)","2018","68616"
"Capitão Poço (PA)","2018","54179"
"Castanhal (PA)","2018","198294"
"Chaves (PA)","2018","23482"
"Colares (PA)","2018","12040"
"Conceição do Araguaia (PA)","2018","47734"
"Concórdia do Pará (PA)","2018","32847"
"Cumaru do Norte (PA)","2018","13179"
"Curionópolis (PA)","2018","18014"
"Curralinho (PA)","2018","33893"
"Curuá (PA)","2018","14197"
"Curuçá (PA)","2018","39540"
"Dom Eliseu (PA)","2018","58956"
"Eldorado do Carajás (PA)","2018","33674"
"Faro (PA)","2018","7319"
"Floresta do Araguaia (PA)","2018","20080"
"Garrafão do Norte (PA)","2018","26020"
"Goianésia do Pará (PA)","2018","39857"
"Gurupá (PA)","2018","32991"
"Igarapé-Açu (PA)","2018","38588"
"Igarapé-Miri (PA)","2018","62355"
"Inhangapi (PA)","2018","11559"
"Ipixuna do Pará (PA)","2018","62455"
"Irituia (PA)","2018","32504"
"Itaituba (PA)","2018","101097"
"Itupiranga (PA)","2018","53182"
"Jacareacanga (PA)","2018","8899"
"Jacundá (PA)","2018","58457"
"Juruti (PA)","2018","56908"
"Limoeiro do Ajuru (PA)","2018","28583"
"Mãe do Rio (PA)","2018","29917"
"Magalhães Barata (PA)","2018","8523"
"Marabá (PA)","2018","275086"
"Maracanã (PA)","2018","29429"
"Marapanim (PA)","2018","28220"
"Marituba (PA)","2018","129321"
"Medicilândia (PA)","2018","31213"
"Melgaço (PA)","2018","27415"
"Mocajuba (PA)","2018","30736"
"Moju (PA)","2018","80988"
"Mojuí dos Campos (PA)","2018","15982"
"Monte Alegre (PA)","2018","57900"
"Muaná (PA)","2018","39783"
"Nova Esperança do Piriá (PA)","2018","21291"
"Nova Ipixuna (PA)","2018","16499"
"Nova Timboteua (PA)","2018","15218"
"Novo Progresso (PA)","2018","25758"
"Novo Repartimento (PA)","2018","74602"
"Óbidos (PA)","2018","51964"
"Oeiras do Pará (PA)","2018","32168"
"Oriximiná (PA)","2018","72160"
"Ourém (PA)","2018","17721"
"Ourilândia do Norte (PA)","2018","32319"
"Pacajá (PA)","2018","46986"
"Palestina do Pará (PA)","2018","7596"
"Paragominas (PA)","2018","111764"
"Parauapebas (PA)","2018","202882"
"Pau D'Arco (PA)","2018","5557"
"Peixe-Boi (PA)","2018","8073"
"Piçarra (PA)","2018","12983"
"Placas (PA)","2018","30293"
"Ponta de Pedras (PA)","2018","30608"
"Portel (PA)","2018","61126"
"Porto de Moz (PA)","2018","40458"
"Prainha (PA)","2018","29886"
"Primavera (PA)","2018","10792"
"Quatipuru (PA)","2018","13512"
"Redenção (PA)","2018","83997"
"Rio Maria (PA)","2018","18186"
"Rondon do Pará (PA)","2018","51903"
"Rurópolis (PA)","2018","49503"
"Salinópolis (PA)","2018","40424"
"Salvaterra (PA)","2018","23424"
"Santa Bárbara do Pará (PA)","2018","20704"
"Santa Cruz do Arari (PA)","2018","9939"
"Santa Izabel do Pará (PA)","2018","69746"
"Santa Luzia do Pará (PA)","2018","19852"
"Santa Maria das Barreiras (PA)","2018","21042"
"Santa Maria do Pará (PA)","2018","24725"
"Santana do Araguaia (PA)","2018","71187"
"Santarém (PA)","2018","302667"
"Santarém Novo (PA)","2018","6664"
"Santo Antônio do Tauá (PA)","2018","31038"
"São Caetano de Odivelas (PA)","2018","17970"
"São Domingos do Araguaia (PA)","2018","25358"
"São Domingos do Capim (PA)","2018","31837"
"São Félix do Xingu (PA)","2018","124763"
"São Francisco do Pará (PA)","2018","15833"
"São Geraldo do Araguaia (PA)","2018","24991"
"São João da Ponta (PA)","2018","6059"
"São João de Pirabas (PA)","2018","22842"
"São João do Araguaia (PA)","2018","13940"
"São Miguel do Guamá (PA)","2018","58328"
"São Sebastião da Boa Vista (PA)","2018","26301"
"Sapucaia (PA)","2018","5849"
"Senador José Porfírio (PA)","2018","11839"
"Soure (PA)","2018","25181"
"Tailândia (PA)","2018","103664"
"Terra Alta (PA)","2018","11591"
"Terra Santa (PA)","2018","18619"
"Tomé-Açu (PA)","2018","62854"
"Tracuateua (PA)","2018","30656"
"Trairão (PA)","2018","18807"
"Tucumã (PA)","2018","39059"
"Tucuruí (PA)","2018","112148"
"Ulianópolis (PA)","2018","57632"
"Uruará (PA)","2018","45517"
"Vigia (PA)","2018","53191"
"Viseu (PA)","2018","61049"
"Vitória do Xingu (PA)","2018","14987"
"Xinguara (PA)","2018","44410"
"Serra do Navio (AP)","2018","5306"
"Amapá (AP)","2018","9029"
"Pedra Branca do Amapari (AP)","2018","15931"
"Calçoene (AP)","2018","10926"
"Cutias (AP)","2018","5864"
"Ferreira Gomes (AP)","2018","7591"
"Itaubal (AP)","2018","5387"
"Laranjal do Jari (AP)","2018","49446"
"Macapá (AP)","2018","493634"
"Mazagão (AP)","2018","21206"
"Oiapoque (AP)","2018","26627"
"Porto Grande (AP)","2018","21484"
"Pracuúba (AP)","2018","4993"
"Santana (AP)","2018","119610"
"Tartarugalzinho (AP)","2018","16855"
"Vitória do Jari (AP)","2018","15605"
"Abreulândia (TO)","2018","2564"
"Aguiarnópolis (TO)","2018","6572"
"Aliança do Tocantins (TO)","2018","5434"
"Almas (TO)","2018","7131"
"Alvorada (TO)","2018","8427"
"Ananás (TO)","2018","9607"
"Angico (TO)","2018","3417"
"Aparecida do Rio Negro (TO)","2018","4741"
"Aragominas (TO)","2018","5786"
"Araguacema (TO)","2018","7016"
"Araguaçu (TO)","2018","8567"
"Araguaína (TO)","2018","177517"
"Araguanã (TO)","2018","5663"
"Araguatins (TO)","2018","35346"
"Arapoema (TO)","2018","6670"
"Arraias (TO)","2018","10601"
"Augustinópolis (TO)","2018","18178"
"Aurora do Tocantins (TO)","2018","3731"
"Axixá do Tocantins (TO)","2018","9725"
"Babaçulândia (TO)","2018","10662"
"Bandeirantes do Tocantins (TO)","2018","3512"
"Barra do Ouro (TO)","2018","4549"
"Barrolândia (TO)","2018","5614"
"Bernardo Sayão (TO)","2018","4469"
"Bom Jesus do Tocantins (TO)","2018","4779"
"Brasilândia do Tocantins (TO)","2018","2191"
"Brejinho de Nazaré (TO)","2018","5475"
"Buriti do Tocantins (TO)","2018","11197"
"Cachoeirinha (TO)","2018","2266"
"Campos Lindos (TO)","2018","9917"
"Cariri do Tocantins (TO)","2018","4321"
"Carmolândia (TO)","2018","2556"
"Carrasco Bonito (TO)","2018","4059"
"Caseara (TO)","2018","5295"
"Centenário (TO)","2018","2874"
"Chapada de Areia (TO)","2018","1401"
"Chapada da Natividade (TO)","2018","3334"
"Colinas do Tocantins (TO)","2018","34990"
"Combinado (TO)","2018","4843"
"Conceição do Tocantins (TO)","2018","4124"
"Couto Magalhães (TO)","2018","5536"
"Cristalândia (TO)","2018","7300"
"Crixás do Tocantins (TO)","2018","1708"
"Darcinópolis (TO)","2018","6018"
"Dianópolis (TO)","2018","21850"
"Divinópolis do Tocantins (TO)","2018","6856"
"Dois Irmãos do Tocantins (TO)","2018","7211"
"Dueré (TO)","2018","4687"
"Esperantina (TO)","2018","10851"
"Fátima (TO)","2018","3841"
"Figueirópolis (TO)","2018","5284"
"Filadélfia (TO)","2018","8837"
"Formoso do Araguaia (TO)","2018","18482"
"Fortaleza do Tabocão (TO)","2018","2576"
"Goianorte (TO)","2018","5116"
"Goiatins (TO)","2018","12942"
"Guaraí (TO)","2018","25677"
