"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Alagoa Grande (PB)","2010","23555","11216","1916","382","307","155","10","27","9541"
"Alagoa Nova (PB)","2010","16184","7900","1486","263","199","68","43","5","6221"
"Alagoinha (PB)","2010","11140","5458","1061","202","165","58","14","16","4167"
"Alcantil (PB)","2010","4383","2268","367","91","29","18","3","-","1607"
"Algodão de Jandaíra (PB)","2010","1904","997","127","39","4","6","-","-","730"
"Alhandra (PB)","2010","14593","6425","1535","266","112","40","8","-","6207"
"São João do Rio do Peixe (PB)","2010","15722","8165","1366","383","267","104","25","29","5384"
"Amparo (PB)","2010","1714","852","151","24","11","1","2","-","673"
"Aparecida (PB)","2010","6443","3339","538","92","69","31","9","6","2359"
"Araçagi (PB)","2010","14496","6879","1098","127","106","62","13","6","6205"
"Arara (PB)","2010","10591","5423","926","193","174","60","10","10","3796"
"Araruna (PB)","2010","15331","7355","1580","291","111","77","9","-","5906"
"Areia (PB)","2010","19715","9340","1804","444","429","301","83","10","7304"
"Areia de Baraúnas (PB)","2010","1612","787","165","49","18","10","-","2","581"
"Areial (PB)","2010","5380","2648","604","123","42","28","12","-","1923"
"Aroeiras (PB)","2010","15724","6792","1189","193","121","80","14","15","7319"
"Assunção (PB)","2010","2912","1451","345","78","18","37","11","4","969"
"Baía da Traição (PB)","2010","6311","2705","594","103","68","84","11","-","2745"
"Bananeiras (PB)","2010","18091","6826","1437","183","258","188","39","-","9159"
"Baraúna (PB)","2010","3473","1561","265","34","26","14","-","-","1573"
"Barra de Santana (PB)","2010","6914","3259","480","77","69","4","-","-","3026"
"Barra de Santa Rosa (PB)","2010","11739","5988","946","127","99","59","7","5","4508"
"Barra de São Miguel (PB)","2010","4734","2552","572","62","47","24","10","-","1467"
"Bayeux (PB)","2010","83432","34777","14189","2796","1758","778","168","97","28869"
"Belém (PB)","2010","14476","7273","1127","176","187","76","15","-","5622"
"Belém do Brejo do Cruz (PB)","2010","5976","2981","435","89","55","18","3","2","2394"
"Bernardino Batista (PB)","2010","2462","984","228","56","30","5","1","-","1158"
"Boa Ventura (PB)","2010","4844","2449","537","76","63","34","-","-","1686"
"Boa Vista (PB)","2010","5209","2445","740","148","64","52","2","-","1758"
"Bom Jesus (PB)","2010","2000","960","289","27","21","11","2","6","684"
"Bom Sucesso (PB)","2010","4330","2268","415","71","40","13","-","-","1522"
"Bonito de Santa Fé (PB)","2010","8729","4244","816","218","107","52","11","4","3277"
"Boqueirão (PB)","2010","14062","7587","1792","317","258","85","17","4","4002"
"Igaracy (PB)","2010","5183","2362","622","111","48","32","14","3","1991"
"Borborema (PB)","2010","4147","2092","338","67","39","22","11","-","1577"
"Brejo do Cruz (PB)","2010","10977","5876","1169","260","139","98","24","-","3411"
"Brejo dos Santos (PB)","2010","5225","2490","479","74","71","22","6","3","2081"
"Caaporã (PB)","2010","16323","6806","1756","304","252","120","8","15","7061"
"Cabaceiras (PB)","2010","4223","2273","457","125","35","19","3","-","1310"
"Cabedelo (PB)","2010","48625","15294","7469","2166","2377","2726","1170","559","16864"
"Cachoeira dos Índios (PB)","2010","8014","3863","876","165","146","45","10","5","2905"
"Cacimba de Areia (PB)","2010","2998","1341","319","55","20","15","7","-","1240"
"Cacimba de Dentro (PB)","2010","13784","6752","1386","230","94","83","24","6","5211"
"Cacimbas (PB)","2010","5192","2202","527","61","31","8","-","-","2363"
"Caiçara (PB)","2010","6071","2947","631","99","77","28","10","11","2267"
"Cajazeiras (PB)","2010","49952","22447","6896","1959","1492","1176","316","203","15462"
"Cajazeirinhas (PB)","2010","2489","1093","185","18","25","6","-","-","1162"
"Caldas Brandão (PB)","2010","4746","2282","508","50","44","25","9","-","1828"
"Camalaú (PB)","2010","4807","2646","458","60","23","11","-","-","1609"
"Campina Grande (PB)","2010","326980","115998","52800","14626","13686","10766","4592","1842","112671"
"Capim (PB)","2010","4435","1746","388","58","12","-","-","3","2228"
"Caraúbas (PB)","2010","3235","1632","423","53","40","31","2","-","1052"
"Carrapateira (PB)","2010","1997","833","154","30","23","3","-","-","953"
"Casserengue (PB)","2010","5802","2481","340","48","18","-","6","3","2905"
"Catingueira (PB)","2010","3981","1904","306","60","31","14","16","-","1649"
"Catolé do Rocha (PB)","2010","24247","12409","2778","485","547","362","36","45","7585"
"Caturité (PB)","2010","3753","1851","431","76","53","26","9","3","1305"
"Conceição (PB)","2010","15434","7320","1405","350","220","99","37","21","5981"
"Condado (PB)","2010","5541","2854","598","119","83","16","7","4","1860"
"Conde (PB)","2010","17298","6857","2394","350","301","228","49","29","7092"
"Congo (PB)","2010","3929","2052","299","81","41","10","6","-","1441"
"Coremas (PB)","2010","12677","6758","1120","297","218","134","18","4","4127"
"Coxixola (PB)","2010","1555","815","156","46","20","8","4","-","507"
"Cruz do Espírito Santo (PB)","2010","13192","5928","1243","257","92","29","-","-","5643"
"Cubati (PB)","2010","5607","2836","488","79","42","15","8","-","2140"
"Cuité (PB)","2010","16964","8920","1654","270","185","97","27","14","5797"
"Cuitegi (PB)","2010","5686","2980","471","103","44","23","9","8","2048"
"Cuité de Mamanguape (PB)","2010","5168","2391","338","60","33","12","6","-","2326"
"Curral de Cima (PB)","2010","4294","2010","339","53","36","14","3","-","1839"
"Curral Velho (PB)","2010","2091","970","192","94","16","29","20","2","767"
"Damião (PB)","2010","4019","1900","304","44","13","11","-","-","1747"
"Desterro (PB)","2010","6539","2973","639","154","61","51","-","-","2660"
"Vista Serrana (PB)","2010","2929","1434","277","50","21","11","-","2","1133"
"Diamante (PB)","2010","5557","2255","515","112","56","8","3","5","2603"
"Dona Inês (PB)","2010","8675","4116","627","77","82","20","4","-","3750"
"Duas Estradas (PB)","2010","3054","1449","254","82","31","11","-","2","1226"
"Emas (PB)","2010","2692","1415","264","43","17","5","3","2","942"
"Esperança (PB)","2010","25803","12367","2497","543","410","250","71","27","9638"
"Fagundes (PB)","2010","9407","4452","923","113","73","31","5","4","3806"
"Frei Martinho (PB)","2010","2529","1409","270","57","36","6","4","10","737"
"Gado Bravo (PB)","2010","6954","2509","422","47","39","5","5","-","3928"
"Guarabira (PB)","2010","46719","19945","5880","1504","1147","1007","214","122","16900"
"Gurinhém (PB)","2010","11510","5378","1043","163","110","24","-","-","4793"
"Gurjão (PB)","2010","2696","1313","279","47","45","12","4","-","999"
"Ibiara (PB)","2010","5141","2313","410","119","33","36","2","-","2226"
"Imaculada (PB)","2010","8977","3943","882","139","42","27","13","-","3931"
"Ingá (PB)","2010","15140","6857","1710","254","226","76","37","-","5979"
"Itabaiana (PB)","2010","20825","10061","2075","696","353","203","54","8","7374"
"Itaporanga (PB)","2010","19324","9080","2532","577","362","190","43","29","6512"
"Itapororoca (PB)","2010","14055","7127","1326","176","96","41","14","-","5275"
"Itatuba (PB)","2010","8372","4050","722","113","80","17","10","6","3374"
"Jacaraú (PB)","2010","11581","5507","1078","204","113","69","5","6","4600"
"Jericó (PB)","2010","6358","3054","642","108","72","42","12","6","2422"
"João Pessoa (PB)","2010","620173","180055","111548","38351","35525","32488","15572","8108","198526"
"Juarez Távora (PB)","2010","6157","3050","514","85","40","12","3","-","2454"
"Juazeirinho (PB)","2010","13426","6187","1400","235","194","39","21","9","5341"
"Junco do Seridó (PB)","2010","5496","2924","505","102","58","15","8","6","1877"
"Juripiranga (PB)","2010","8427","3777","638","141","115","23","8","-","3724"
"Juru (PB)","2010","8270","3813","751","127","101","30","10","4","3434"
"Lagoa (PB)","2010","3983","1883","309","51","19","-","4","-","1718"
"Lagoa de Dentro (PB)","2010","6147","2857","506","92","65","27","6","-","2594"
"Lagoa Seca (PB)","2010","21419","10508","2406","581","325","201","168","43","7187"
"Lastro (PB)","2010","2414","1167","190","21","15","6","-","-","1015"
"Livramento (PB)","2010","5845","2771","508","74","29","11","4","-","2447"
"Logradouro (PB)","2010","3274","1756","265","51","15","8","-","-","1180"
"Lucena (PB)","2010","9456","4085","898","210","101","97","48","10","4007"
"Mãe d'Água (PB)","2010","3318","1538","269","35","14","8","3","-","1450"
"Malta (PB)","2010","4666","2239","517","121","68","39","12","5","1666"
"Mamanguape (PB)","2010","34712","14828","3782","748","540","400","89","19","14307"
"Manaíra (PB)","2010","8722","4195","722","181","71","32","13","-","3508"
"Marcação (PB)","2010","5975","2779","576","83","31","22","6","4","2474"
"Mari (PB)","2010","17785","9457","1404","274","80","114","6","-","6449"
"Marizópolis (PB)","2010","5141","2460","500","116","107","26","14","3","1915"
"Massaranduba (PB)","2010","10731","5098","1015","106","64","29","9","5","4405"
"Mataraca (PB)","2010","5908","2532","438","94","60","29","-","3","2752"
"Matinhas (PB)","2010","3546","1698","357","41","14","11","-","-","1424"
"Mato Grosso (PB)","2010","2276","1109","193","33","20","14","-","-","907"
"Maturéia (PB)","2010","4849","2166","548","62","49","20","3","-","2001"
"Mogeiro (PB)","2010","10395","5013","843","156","87","44","-","-","4253"
"Montadas (PB)","2010","4112","1969","441","88","32","14","-","-","1569"
"Monte Horebe (PB)","2010","3741","1721","429","64","52","12","2","5","1456"
"Monteiro (PB)","2010","26140","13005","2684","569","544","362","98","74","8802"
"Mulungu (PB)","2010","7891","3761","593","94","77","18","11","-","3337"
"Natuba (PB)","2010","8678","3937","606","84","53","28","5","-","3965"
"Nazarezinho (PB)","2010","6088","3058","447","53","52","22","-","-","2457"
"Nova Floresta (PB)","2010","8791","4369","978","179","132","40","27","-","3067"
"Nova Olinda (PB)","2010","5057","2148","604","85","56","21","3","8","2131"
"Nova Palmeira (PB)","2010","3693","2042","407","47","53","16","3","-","1126"
"Olho d'Água (PB)","2010","5803","2563","413","60","71","13","10","3","2671"
"Olivedos (PB)","2010","3075","1421","226","36","22","5","-","-","1365"
"Ouro Velho (PB)","2010","2484","1129","287","76","40","18","3","-","931"
"Parari (PB)","2010","1057","528","105","31","9","8","1","-","374"
"Passagem (PB)","2010","1839","898","195","33","35","5","3","-","670"
"Patos (PB)","2010","84597","36450","11465","3042","2796","1802","615","320","28108"
"Paulista (PB)","2010","10067","5711","1051","195","115","36","13","13","2933"
"Pedra Branca (PB)","2010","3076","1317","248","40","11","25","-","-","1435"
"Pedra Lavrada (PB)","2010","6253","3365","600","93","54","51","5","2","2083"
"Pedras de Fogo (PB)","2010","22417","10544","2062","493","335","123","28","27","8805"
"Piancó (PB)","2010","13145","6387","1149","350","279","108","44","4","4824"
"Picuí (PB)","2010","15206","7855","1540","317","199","138","39","24","5094"
"Pilar (PB)","2010","9317","4168","787","188","77","32","5","3","4056"
"Pilões (PB)","2010","5648","2455","499","98","64","43","11","9","2469"
"Pilõezinhos (PB)","2010","4258","2173","334","20","17","5","-","-","1708"
"Pirpirituba (PB)","2010","8613","4166","693","148","97","83","7","4","3414"
"Pitimbu (PB)","2010","13530","6716","1118","216","166","55","10","10","5238"
"Pocinhos (PB)","2010","13857","6882","1412","285","188","34","5","-","5051"
"Poço Dantas (PB)","2010","3057","1333","277","47","7","4","-","-","1390"
"Poço de José de Moura (PB)","2010","3373","1878","411","72","37","19","3","-","954"
"Pombal (PB)","2010","27469","14213","2685","663","604","393","162","60","8690"
"Prata (PB)","2010","3191","1620","353","87","35","18","-","-","1078"
"Princesa Isabel (PB)","2010","17777","8758","2132","588","263","115","50","18","5853"
"Puxinanã (PB)","2010","10676","5059","1258","180","164","29","9","5","3973"
"Queimadas (PB)","2010","34247","15690","4486","672","401","209","43","9","12738"
"Quixaba (PB)","2010","1425","771","137","23","10","8","-","2","473"
"Remígio (PB)","2010","14445","6340","1674","306","222","173","55","9","5666"
"Pedro Régis (PB)","2010","4744","2309","347","43","18","15","4","-","2009"
"Riachão (PB)","2010","2703","1248","144","27","13","3","-","-","1269"
"Riachão do Bacamarte (PB)","2010","3528","1689","270","62","27","32","3","-","1444"
"Riachão do Poço (PB)","2010","3419","1725","323","34","24","5","-","4","1305"
"Riacho de Santo Antônio (PB)","2010","1416","726","159","33","17","2","2","-","477"
"Riacho dos Cavalos (PB)","2010","7002","3797","755","64","28","19","7","4","2328"
"Rio Tinto (PB)","2010","19320","8505","1667","551","261","128","11","-","8198"
"Salgadinho (PB)","2010","2854","1398","223","51","32","4","-","-","1147"
"Salgado de São Félix (PB)","2010","10030","4909","693","61","83","27","-","-","4259"
"Santa Cecília (PB)","2010","5464","2919","393","79","11","3","3","-","2056"
"Santa Cruz (PB)","2010","5591","2860","618","84","79","24","6","-","1921"
"Santa Helena (PB)","2010","4607","2240","462","91","63","22","3","-","1726"
"Santa Inês (PB)","2010","2924","1403","219","35","19","5","2","2","1238"
"Santa Luzia (PB)","2010","12409","6325","1349","363","206","197","82","7","3879"
"Santana de Mangueira (PB)","2010","4403","1875","247","26","14","6","-","-","2235"
"Santana dos Garrotes (PB)","2010","6188","2895","675","121","72","35","6","-","2384"
"Joca Claudino (PB)","2010","2216","1026","174","28","31","12","2","-","943"
"Santa Rita (PB)","2010","100065","41777","14565","3259","1821","855","147","48","37594"
"Santa Teresinha (PB)","2010","3864","1862","327","49","17","8","4","3","1594"
"Santo André (PB)","2010","2266","1095","269","34","17","12","-","1","838"
"São Bento (PB)","2010","25836","15029","2886","431","349","137","78","45","6882"
"São Bentinho (PB)","2010","3471","1830","392","56","36","20","7","-","1131"
"São Domingos do Cariri (PB)","2010","2049","1086","252","41","16","17","4","2","631"
"São Domingos (PB)","2010","2448","1354","184","36","19","14","-","-","842"
"São Francisco (PB)","2010","2901","1604","282","39","28","13","-","-","935"
"São João do Cariri (PB)","2010","3711","1793","437","67","47","32","13","11","1309"
"São João do Tigre (PB)","2010","3606","1849","354","36","22","3","2","-","1340"
"São José da Lagoa Tapada (PB)","2010","6332","3155","427","65","33","21","6","-","2625"
"São José de Caiana (PB)","2010","4871","2098","711","116","36","18","-","-","1893"
"São José de Espinharas (PB)","2010","3964","2007","331","49","32","18","-","-","1527"
"São José dos Ramos (PB)","2010","4566","2035","370","41","24","12","4","3","2078"
"São José de Piranhas (PB)","2010","16130","7887","1999","349","288","132","30","10","5435"
"São José de Princesa (PB)","2010","3547","1563","393","61","12","3","3","-","1512"
"São José do Bonfim (PB)","2010","2655","1185","275","64","26","10","2","-","1093"
"São José do Brejo do Cruz (PB)","2010","1398","651","117","19","12","-","2","-","597"
"São José do Sabugi (PB)","2010","3411","1766","376","82","55","21","-","3","1108"
"São José dos Cordeiros (PB)","2010","3327","1775","259","43","31","5","4","-","1209"
"São Mamede (PB)","2010","6547","3370","802","162","95","43","20","5","2050"
"São Miguel de Taipu (PB)","2010","5450","2388","419","61","38","10","3","-","2530"
"São Sebastião de Lagoa de Roça (PB)","2010","9133","4364","907","183","132","49","7","-","3490"
"São Sebastião do Umbuzeiro (PB)","2010","2706","1508","289","51","34","10","-","-","814"
"Sapé (PB)","2010","41907","18912","3588","716","486","264","52","20","17869"
"São Vicente do Seridó (PB)","2010","8309","3741","807","133","91","24","-","-","3513"
"Serra Branca (PB)","2010","11020","5647","1234","387","150","58","33","6","3505"
"Serra da Raiz (PB)","2010","2658","1457","252","47","23","9","4","8","859"
"Serra Grande (PB)","2010","2497","1163","262","24","40","8","-","-","999"
"Serra Redonda (PB)","2010","5993","2983","622","78","84","20","3","-","2203"
"Serraria (PB)","2010","5118","2583","303","72","61","21","4","-","2074"
"Sertãozinho (PB)","2010","3663","1811","335","50","28","18","-","-","1422"
"Sobrado (PB)","2010","6192","2788","397","79","30","13","4","-","2881"
"Solânea (PB)","2010","22113","10386","1890","488","403","176","26","79","8665"
"Soledade (PB)","2010","11368","5620","1309","267","201","97","24","13","3837"
"Sossêgo (PB)","2010","2578","1189","265","46","16","9","-","-","1055"
"Sousa (PB)","2010","55603","25668","7109","1595","1572","1050","412","123","18073"
"Sumé (PB)","2010","13755","7355","1363","303","258","128","45","15","4287"
"Tacima (PB)","2010","8733","3876","452","89","56","20","-","-","4239"
"Taperoá (PB)","2010","12401","6067","1344","210","123","42","20","4","4591"
"Tavares (PB)","2010","11574","5115","1216","220","117","43","17","9","4837"
"Teixeira (PB)","2010","11463","5240","1111","263","227","91","12","9","4511"
"Tenório (PB)","2010","2328","1086","307","57","33","3","4","-","839"
"Triunfo (PB)","2010","7787","3585","1078","205","72","42","6","9","2791"
"Uiraúna (PB)","2010","12487","6156","1207","305","237","146","50","19","4366"
"Umbuzeiro (PB)","2010","7756","3564","614","78","85","36","15","-","3364"
"Várzea (PB)","2010","2148","1136","314","76","63","16","-","1","542"
"Vieirópolis (PB)","2010","4314","2095","379","42","45","5","-","-","1748"
"Zabelê (PB)","2010","1701","987","202","35","21","2","2","-","451"
"Abreu e Lima (PE)","2010","80277","28775","14195","3735","2291","1162","115","22","29982"
"Afogados da Ingazeira (PE)","2010","29302","13248","3164","980","793","492","104","57","10466"
"Afrânio (PE)","2010","14292","6776","1288","172","97","65","13","5","5877"
"Agrestina (PE)","2010","18998","9015","2014","501","149","107","23","8","7181"
"Água Preta (PE)","2010","26956","10355","1948","318","192","111","30","-","14002"
"Águas Belas (PE)","2010","31885","14736","2498","484","356","197","96","30","13488"
"Alagoinha (PE)","2010","11417","5770","1267","224","136","44","32","-","3945"
"Aliança (PE)","2010","31159","12727","3193","428","253","156","21","33","14349"
"Altinho (PE)","2010","19032","9776","1653","168","132","169","-","-","7133"
"Amaraji (PE)","2010","17977","9369","1883","363","187","100","27","24","6025"
"Angelim (PE)","2010","8302","3706","614","162","112","63","9","6","3631"
"Araçoiaba (PE)","2010","14868","6433","1661","241","123","53","14","5","6339"
"Araripina (PE)","2010","62032","30567","7140","1504","1017","506","172","88","21037"
"Arcoverde (PE)","2010","56749","22457","6936","2385","2030","1437","291","176","21039"
"Barra de Guabiraba (PE)","2010","10411","4965","768","122","123","65","19","11","4337"
"Barreiros (PE)","2010","33250","12357","2966","654","387","201","75","22","16588"
"Belém de Maria (PE)","2010","9185","4650","768","141","113","21","10","-","3482"
"Belém do São Francisco (PE)","2010","16275","7280","1348","483","336","248","136","13","6431"
"Belo Jardim (PE)","2010","60771","27216","7855","2003","1322","745","306","48","21275"
"Betânia (PE)","2010","9738","4492","885","100","101","63","10","-","4087"
"Bezerros (PE)","2010","50276","25299","5325","1145","808","524","133","68","16975"
"Bodocó (PE)","2010","28207","12827","2645","499","375","229","27","6","11599"
"Bom Conselho (PE)","2010","36944","16696","3354","836","627","324","113","42","14951"
"Bom Jardim (PE)","2010","32070","14082","3183","355","222","170","19","-","14039"
"Bonito (PE)","2010","30828","14181","2243","492","532","213","56","15","13095"
"Brejão (PE)","2010","7301","3438","686","102","62","27","11","-","2975"
"Brejinho (PE)","2010","6086","2591","842","123","70","25","-","4","2430"
"Brejo da Madre de Deus (PE)","2010","36759","19858","4464","636","465","266","21","26","11022"
"Buenos Aires (PE)","2010","10410","4731","1035","171","93","32","10","-","4337"
"Buíque (PE)","2010","40726","18084","2316","508","451","56","8","22","19281"
"Cabo de Santo Agostinho (PE)","2010","155710","50160","27730","7372","4684","2015","502","232","63016"
"Cabrobó (PE)","2010","24751","11549","2402","513","278","271","55","38","9646"
"Cachoeirinha (PE)","2010","15794","8168","1784","227","216","93","12","6","5289"
"Caetés (PE)","2010","21529","9179","1250","260","141","56","11","-","10631"
"Calçado (PE)","2010","9098","4541","828","156","46","35","-","4","3487"
"Calumbi (PE)","2010","4659","2133","526","115","52","19","6","9","1799"
"Camaragibe (PE)","2010","123483","42421","22152","5210","3537","1886","600","199","47479"
"Camocim de São Félix (PE)","2010","14346","7332","1209","222","212","110","33","11","5217"
"Camutanga (PE)","2010","6830","2966","721","125","95","53","20","-","2849"
"Canhotinho (PE)","2010","20283","9137","1559","295","263","79","15","-","8935"
"Capoeiras (PE)","2010","16147","7295","1312","272","149","49","-","10","7061"
"Carnaíba (PE)","2010","15383","6898","1554","277","157","61","6","4","6426"
"Carnaubeira da Penha (PE)","2010","9095","3463","594","156","65","27","11","-","4779"
"Carpina (PE)","2010","63414","25492","7912","2268","1679","1215","292","39","24516"
"Caruaru (PE)","2010","265208","100299","50848","12738","9614","5898","2275","885","82650"
"Casinhas (PE)","2010","11411","4963","997","86","40","10","-","-","5315"
"Catende (PE)","2010","30864","12199","2892","876","555","296","90","24","13931"
"Cedro (PE)","2010","8829","4555","727","136","118","49","10","16","3216"
"Chã de Alegria (PE)","2010","10293","4348","1034","190","96","10","5","-","4610"
"Chã Grande (PE)","2010","16857","8365","1618","380","230","132","43","38","6052"
"Condado (PE)","2010","20067","8562","1887","493","230","150","35","21","8689"
"Correntes (PE)","2010","14316","6208","1191","222","155","89","17","9","6425"
"Cortês (PE)","2010","10107","4398","845","163","108","41","11","-","4541"
"Cumaru (PE)","2010","14633","7090","1376","195","139","51","8","6","5768"
"Cupira (PE)","2010","19669","10447","1841","408","422","199","21","11","6321"
"Custódia (PE)","2010","28300","12397","3625","777","733","266","72","57","10373"
"Dormentes (PE)","2010","13793","7145","1474","292","172","66","-","6","4638"
"Escada (PE)","2010","52790","21248","7377","1305","974","385","124","43","21334"
"Exu (PE)","2010","25552","12161","2136","429","341","121","49","30","10285"
"Feira Nova (PE)","2010","17187","9093","1836","402","215","104","-","18","5518"
"Fernando de Noronha (PE)","2010","2246","261","611","288","308","171","57","16","533"
"Ferreiros (PE)","2010","9569","4622","1034","211","82","68","12","16","3523"
"Flores (PE)","2010","18394","8238","1890","407","118","52","19","-","7669"
"Floresta (PE)","2010","23483","9894","2963","796","467","147","54","35","9126"
"Frei Miguelinho (PE)","2010","12196","6191","1203","207","139","39","15","-","4401"
"Gameleira (PE)","2010","22754","9386","2170","386","182","81","36","-","10513"
"Garanhuns (PE)","2010","107418","40745","13903","4452","3945","2701","819","412","40441"
"Glória do Goitá (PE)","2010","24178","12386","2044","409","315","198","24","12","8790"
"Goiana (PE)","2010","63133","24846","7929","2191","1435","857","144","64","25669"
"Granito (PE)","2010","5548","2742","467","104","35","28","-","6","2166"
"Gravatá (PE)","2010","64717","29052","8435","1647","1501","1032","301","100","22649"
"Iati (PE)","2010","14622","6309","1015","249","92","51","25","-","6881"
"Ibimirim (PE)","2010","21628","9638","1951","388","236","101","12","-","9303"
"Ibirajuba (PE)","2010","6243","3536","582","90","19","3","5","3","2006"
"Igarassu (PE)","2010","85835","31062","14686","3594","2136","912","144","50","33250"
"Iguaracy (PE)","2010","9889","5219","981","155","108","106","23","12","3284"
"Inajá (PE)","2010","14661","6360","1100","158","157","96","27","-","6764"
"Ingazeira (PE)","2010","3770","1807","372","102","44","33","-","3","1410"
"Ipojuca (PE)","2010","65231","22016","10631","2489","1340","727","320","51","27658"
"Ipubi (PE)","2010","22029","11218","1818","424","318","111","42","10","8087"
"Itacuruba (PE)","2010","3469","1576","431","80","37","19","6","2","1317"
"Itaíba (PE)","2010","21205","10066","1721","347","150","127","-","-","8793"
"Ilha de Itamaracá (PE)","2010","18699","7388","1869","548","406","220","58","14","8196"
"Itambé (PE)","2010","29274","11951","2653","568","232","319","42","9","13500"
"Itapetim (PE)","2010","11835","5460","1555","319","190","81","14","19","4198"
"Itapissuma (PE)","2010","19620","8410","2193","496","198","124","23","8","8168"
"Itaquitinga (PE)","2010","12792","5920","1304","330","113","51","14","-","5058"
"Jaboatão dos Guararapes (PE)","2010","547455","181349","95118","28009","20412","15126","6604","2535","198301"
"Jaqueira (PE)","2010","9215","3528","741","133","119","88","27","11","4568"
"Jataúba (PE)","2010","12877","7182","1078","199","129","31","15","-","4244"
"Jatobá (PE)","2010","11535","4053","1411","330","342","202","35","9","5154"
"João Alfredo (PE)","2010","25883","11938","2792","579","215","113","18","-","10229"
"Joaquim Nabuco (PE)","2010","12704","4828","1555","400","113","68","10","19","5712"
"Jucati (PE)","2010","8588","4143","802","169","52","38","10","-","3375"
"Jupi (PE)","2010","11294","5916","1091","225","118","73","16","-","3856"
"Jurema (PE)","2010","11738","5660","955","178","84","24","4","-","4833"
"Lagoa do Carro (PE)","2010","13317","6321","1403","301","167","68","5","-","5052"
"Lagoa de Itaenga (PE)","2010","17093","7840","1890","266","112","117","13","-","6855"
"Lagoa do Ouro (PE)","2010","9884","5009","755","88","139","51","-","-","3843"
"Lagoa dos Gatos (PE)","2010","12795","6390","1258","220","91","60","15","4","4758"
"Lagoa Grande (PE)","2010","18053","7930","2282","236","253","159","49","26","7119"
"Lajedo (PE)","2010","30359","15913","3243","723","572","333","91","7","9477"
"Limoeiro (PE)","2010","47498","20522","5800","1462","1080","634","155","62","17783"
"Macaparana (PE)","2010","20079","10344","1555","361","258","196","31","9","7325"
"Machados (PE)","2010","11065","4523","1117","145","71","40","5","-","5165"
"Manari (PE)","2010","13837","6073","1033","129","79","15","5","-","6504"
"Maraial (PE)","2010","9767","4478","714","133","95","44","19","13","4270"
"Mirandiba (PE)","2010","11553","4321","647","160","123","72","8","5","6217"
"Moreno (PE)","2010","47884","19609","5856","1373","908","494","103","45","19496"
"Nazaré da Mata (PE)","2010","26240","10828","3068","760","581","374","80","14","10535"
"Olinda (PE)","2010","325443","99035","58087","19305","16144","11645","3829","1436","115962"
"Orobó (PE)","2010","19231","8248","1540","243","167","83","33","-","8917"
"Orocó (PE)","2010","10550","5491","973","189","65","81","18","-","3733"
"Ouricuri (PE)","2010","51275","21300","5073","959","747","555","192","68","22382"
"Palmares (PE)","2010","49097","18451","5558","1205","1043","522","63","23","22232"
"Palmeirina (PE)","2010","6724","3169","575","132","85","45","4","-","2715"
"Panelas (PE)","2010","20952","9741","1675","344","158","120","-","17","8897"
"Paranatama (PE)","2010","8934","3625","777","221","71","23","-","-","4216"
"Parnamirim (PE)","2010","16363","7079","1438","248","201","156","59","5","7179"
"Passira (PE)","2010","24185","10933","2591","351","290","111","9","9","9892"
"Paudalho (PE)","2010","42392","17061","4539","1161","610","352","236","141","18293"
"Paulista (PE)","2010","257939","79244","49837","15779","11777","6536","1390","345","93032"
"Pedra (PE)","2010","16934","7744","1432","246","241","99","18","8","7146"
"Pesqueira (PE)","2010","51911","25122","5356","1012","863","669","127","79","18683"
"Petrolândia (PE)","2010","25987","11058","3166","725","613","416","98","51","9860"
"Petrolina (PE)","2010","240136","83106","40486","10756","8303","6522","2237","1047","87679"
"Poção (PE)","2010","9142","4997","787","142","50","41","11","-","3114"
"Pombos (PE)","2010","20432","9548","2038","544","314","219","32","-","7735"
"Primavera (PE)","2010","10977","5176","1532","236","137","87","9","-","3800"
"Quipapá (PE)","2010","19495","9441","1744","229","114","102","10","-","7856"
"Quixaba (PE)","2010","5607","2465","579","86","38","14","-","-","2426"
"Recife (PE)","2010","1336198","389953","220664","74271","72372","74827","37461","24598","442052"
"Riacho das Almas (PE)","2010","16151","8400","1766","267","195","78","25","15","5403"
"Ribeirão (PE)","2010","36766","13458","4430","1139","760","423","125","13","16419"
"Rio Formoso (PE)","2010","18128","6614","2270","541","222","116","6","-","8359"
"Sairé (PE)","2010","9528","4611","1229","190","60","80","4","5","3349"
"Salgadinho (PE)","2010","7910","3156","535","68","41","33","-","-","4076"
"Salgueiro (PE)","2010","46233","18804","5976","1661","1379","967","283","101","17062"
"Saloá (PE)","2010","12622","5858","1269","192","125","62","17","5","5093"
"Sanharó (PE)","2010","17922","8322","1622","396","197","118","17","12","7236"
"Santa Cruz (PE)","2010","10888","4948","927","144","78","59","4","4","4725"
"Santa Cruz da Baixa Verde (PE)","2010","9783","4719","1041","142","137","75","-","-","3670"
"Santa Cruz do Capibaribe (PE)","2010","72352","32009","17041","2965","2302","1075","385","122","16454"
