"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Porto Acre (AC)","2010","11618","4013","1453","187","238","162","12","5","5547"
"Alvarães (AM)","2010","9684","2334","1106","228","118","44","11","5","5839"
"Amaturá (AM)","2010","7064","2028","454","88","85","41","12","4","4352"
"Anamã (AM)","2010","7687","2520","941","89","138","55","22","6","3917"
"Anori (AM)","2010","12313","4354","1100","310","171","161","47","-","6171"
"Apuí (AM)","2010","14528","4794","2472","552","319","230","72","25","6065"
"Atalaia do Norte (AM)","2010","11078","3251","705","253","137","94","15","2","6621"
"Autazes (AM)","2010","23718","8476","2467","417","526","234","63","-","11535"
"Barcelos (AM)","2010","20240","4466","1520","290","363","178","53","36","13335"
"Barreirinha (AM)","2010","19282","6973","1287","259","184","72","26","-","10481"
"Benjamin Constant (AM)","2010","23985","9062","2385","435","271","214","39","23","11557"
"Beruri (AM)","2010","10744","3478","810","246","177","114","32","5","5883"
"Boa Vista do Ramos (AM)","2010","10901","3245","1002","168","58","96","17","6","6310"
"Boca do Acre (AM)","2010","23432","8771","2510","458","497","260","66","34","10836"
"Borba (AM)","2010","25571","8706","2130","642","396","138","59","42","13458"
"Caapiranga (AM)","2010","8219","2639","818","192","134","86","19","-","4332"
"Canutama (AM)","2010","10051","3101","896","165","126","81","11","5","5665"
"Carauari (AM)","2010","18914","7272","2157","400","279","98","42","15","8653"
"Careiro (AM)","2010","25066","7188","1867","630","380","207","9","36","14748"
"Careiro da Várzea (AM)","2010","18865","7031","1499","509","289","123","-","-","9414"
"Coari (AM)","2010","57724","16663","8013","1603","1514","707","293","108","28822"
"Codajás (AM)","2010","17565","6281","1468","400","268","128","32","14","8975"
"Eirunepé (AM)","2010","22171","9335","1913","534","227","249","112","28","9774"
"Envira (AM)","2010","11932","4055","977","124","217","115","18","10","6416"
"Fonte Boa (AM)","2010","16488","5244","1484","304","215","136","37","13","9054"
"Guajará (AM)","2010","10137","2587","708","174","133","85","20","19","6410"
"Humaitá (AM)","2010","34401","10524","3851","1212","875","656","241","61","16981"
"Ipixuna (AM)","2010","15176","5129","923","162","130","89","21","19","8703"
"Iranduba (AM)","2010","30923","10015","4303","1254","739","470","75","44","14022"
"Itacoatiara (AM)","2010","66688","23968","8866","2351","2079","1108","238","167","27911"
"Itamarati (AM)","2010","5767","1673","326","48","26","34","3","17","3640"
"Itapiranga (AM)","2010","6248","1984","639","171","117","65","41","29","3203"
"Japurá (AM)","2010","5353","1532","653","95","68","30","10","3","2961"
"Juruá (AM)","2010","7743","2880","806","117","139","61","6","13","3722"
"Jutaí (AM)","2010","12166","4009","1078","228","131","54","18","32","6617"
"Lábrea (AM)","2010","28129","10573","2920","659","390","226","11","33","13316"
"Manacapuru (AM)","2010","65169","24349","8039","2168","1837","994","258","91","27432"
"Manaquiri (AM)","2010","16934","6390","1842","369","296","154","-","51","7831"
"Manaus (AM)","2010","1474404","327333","295595","96808","77148","59187","22115","10063","586155"
"Manicoré (AM)","2010","35688","11678","3293","1301","1195","487","58","97","17579"
"Maraã (AM)","2010","12411","2880","868","157","104","61","5","9","8327"
"Maués (AM)","2010","37996","14416","3616","664","595","444","103","71","18086"
"Nhamundá (AM)","2010","13851","4770","886","182","155","114","36","4","7704"
"Nova Olinda do Norte (AM)","2010","23232","7537","2377","433","347","188","33","41","12275"
"Novo Airão (AM)","2010","11150","3183","1481","267","161","136","42","-","5880"
"Novo Aripuanã (AM)","2010","16384","5578","1706","403","310","80","20","17","8268"
"Parintins (AM)","2010","77504","30580","8378","2173","2014","1112","251","142","32854"
"Pauini (AM)","2010","13032","3796","1022","201","267","82","9","25","7629"
"Presidente Figueiredo (AM)","2010","21125","6197","3888","1118","862","341","112","16","8591"
"Rio Preto da Eva (AM)","2010","20151","5848","3297","658","296","200","64","42","9746"
"Santa Isabel do Rio Negro (AM)","2010","12519","3212","865","208","125","111","19","-","7979"
"Santo Antônio do Içá (AM)","2010","17491","5294","999","157","192","67","31","8","10743"
"São Gabriel da Cachoeira (AM)","2010","28177","6528","2346","651","517","499","169","39","17426"
"São Paulo de Olivença (AM)","2010","22866","6997","1525","215","236","173","12","11","13698"
"São Sebastião do Uatumã (AM)","2010","7889","2934","842","257","137","40","6","11","3662"
"Silves (AM)","2010","6189","2141","649","186","111","68","22","-","3013"
"Tabatinga (AM)","2010","38335","11478","3917","934","1032","939","303","84","19648"
"Tapauá (AM)","2010","14011","5859","1010","126","293","146","8","-","6570"
"Tefé (AM)","2010","45301","14551","6130","1668","1530","1074","387","131","19829"
"Tonantins (AM)","2010","12266","3869","1280","228","193","101","9","-","6586"
"Uarini (AM)","2010","8314","2861","879","173","97","79","12","23","4189"
"Urucará (AM)","2010","12568","4697","1185","363","201","101","38","23","5960"
"Urucurituba (AM)","2010","13426","5184","1193","311","185","84","32","10","6428"
"Amajari (RR)","2010","6432","1371","366","102","87","32","7","-","4468"
"Alto Alegre (RR)","2010","11547","2934","815","269","243","140","29","5","7114"
"Boa Vista (RR)","2010","229760","61129","41347","14046","13560","13341","4180","1664","80494"
"Bonfim (RR)","2010","7776","2568","793","199","178","120","38","10","3870"
"Cantá (RR)","2010","10522","3464","1024","241","319","192","50","17","5216"
"Caracaraí (RR)","2010","14156","4805","1833","476","469","184","71","6","6312"
"Caroebe (RR)","2010","6273","2435","1015","187","146","77","17","13","2383"
"Iracema (RR)","2010","6767","2015","832","139","129","99","17","3","3533"
"Mucajaí (RR)","2010","11689","3880","1352","302","302","201","67","46","5539"
"Normandia (RR)","2010","5953","1450","599","143","138","74","19","6","3524"
"Pacaraima (RR)","2010","7426","1916","813","314","240","129","46","28","3941"
"Rorainópolis (RR)","2010","19200","7098","2269","591","446","261","20","12","8503"
"São João da Baliza (RR)","2010","5305","1997","863","175","111","119","24","6","2011"
"São Luiz (RR)","2010","5602","1638","650","132","143","120","2","11","2906"
"Uiramutã (RR)","2010","5269","1152","257","120","52","37","13","3","3635"
"Abaetetuba (PA)","2010","113916","45314","12705","3369","2174","1340","333","67","48614"
"Abel Figueiredo (PA)","2010","5410","2151","802","174","102","60","11","15","2095"
"Acará (PA)","2010","40926","17395","3623","870","349","198","53","-","18438"
"Afuá (PA)","2010","25480","7792","1885","500","190","161","20","21","14910"
"Água Azul do Norte (PA)","2010","20651","5873","3233","595","233","96","-","15","10605"
"Alenquer (PA)","2010","39784","16775","2978","873","460","262","76","12","18349"
"Almeirim (PA)","2010","25825","7547","2603","1102","1315","673","296","127","12162"
"Altamira (PA)","2010","79787","27124","12697","4152","3429","1964","570","160","29691"
"Anajás (PA)","2010","17519","7448","1175","321","159","96","30","47","8244"
"Ananindeua (PA)","2010","394224","118757","72887","22979","15814","11759","3683","1385","146961"
"Anapu (PA)","2010","15676","5606","1971","501","315","145","22","14","7101"
"Augusto Corrêa (PA)","2010","30482","12812","1946","222","314","82","8","-","15098"
"Aurora do Pará (PA)","2010","20831","6653","1425","271","256","88","8","-","12131"
"Aveiro (PA)","2010","11846","4784","676","93","144","47","-","-","6103"
"Bagre (PA)","2010","17104","6887","1416","217","108","65","8","6","8397"
"Baião (PA)","2010","28543","10458","2758","700","773","89","11","5","13748"
"Bannach (PA)","2010","2720","907","432","111","75","31","18","13","1134"
"Barcarena (PA)","2010","79283","24686","11102","3998","3357","1625","308","166","34041"
"Belém (PA)","2010","1188026","328628","196568","67966","61724","56686","22938","12930","440586"
"Belterra (PA)","2010","12609","4270","1253","409","172","129","16","10","6348"
"Benevides (PA)","2010","41882","13802","7500","1602","1132","682","162","41","16961"
"Bom Jesus do Tocantins (PA)","2010","12301","5280","1625","268","223","130","56","16","4703"
"Bonito (PA)","2010","10685","4998","935","208","57","53","13","5","4415"
"Bragança (PA)","2010","89337","38547","9206","2479","1863","1388","391","85","35377"
"Brasil Novo (PA)","2010","12669","4807","1444","367","263","215","66","47","5460"
"Brejo Grande do Araguaia (PA)","2010","5766","2241","680","137","122","58","49","-","2479"
"Breu Branco (PA)","2010","40098","14424","4602","1021","768","276","47","25","18935"
"Breves (PA)","2010","68244","25423","5270","1181","1044","581","188","21","34537"
"Bujaru (PA)","2010","19496","8317","1809","164","116","57","22","-","9011"
"Cachoeira do Piriá (PA)","2010","19197","6710","1427","166","78","31","16","-","10769"
"Cachoeira do Arari (PA)","2010","16064","5374","1399","357","304","99","6","8","8516"
"Cametá (PA)","2010","93278","37184","7342","1806","1517","684","135","114","44496"
"Canaã dos Carajás (PA)","2010","21005","5687","3704","1242","919","700","224","45","8484"
"Capanema (PA)","2010","52396","22404","6085","1689","1476","1034","198","42","19466"
"Capitão Poço (PA)","2010","41170","19013","3420","630","515","302","132","10","17148"
"Castanhal (PA)","2010","141833","50503","21764","5926","4544","3149","1067","336","54544"
"Chaves (PA)","2010","15366","5319","747","183","660","39","-","11","8407"
"Colares (PA)","2010","9018","3734","769","163","118","65","29","-","4140"
"Conceição do Araguaia (PA)","2010","36993","14540","5229","1524","1081","604","148","62","13806"
"Concórdia do Pará (PA)","2010","21708","10051","2548","387","194","102","20","36","8368"
"Cumaru do Norte (PA)","2010","8273","2100","1950","388","171","122","34","14","3495"
"Curionópolis (PA)","2010","14703","5338","2089","530","277","117","28","28","6295"
"Curralinho (PA)","2010","20277","8035","1529","273","393","201","14","-","9831"
"Curuá (PA)","2010","9015","3269","752","103","109","46","31","-","4704"
"Curuçá (PA)","2010","27220","10781","2244","593","370","245","-","14","12972"
"Dom Eliseu (PA)","2010","40377","15445","5760","1365","687","582","87","95","16355"
"Eldorado do Carajás (PA)","2010","24691","9501","2804","612","352","254","97","29","11042"
"Faro (PA)","2010","6094","2481","504","86","79","22","7","-","2915"
"Floresta do Araguaia (PA)","2010","14069","5370","1398","398","282","193","24","9","6394"
"Garrafão do Norte (PA)","2010","19198","9266","1834","367","193","137","29","22","7349"
"Goianésia do Pará (PA)","2010","23974","8809","3340","763","343","223","56","38","10401"
"Gurupá (PA)","2010","21234","8164","1998","487","117","79","31","10","10350"
"Igarapé-Açu (PA)","2010","29047","12182","2635","689","447","443","50","21","12581"
"Igarapé-Miri (PA)","2010","45035","20198","3433","660","504","206","25","13","19997"
"Inhangapi (PA)","2010","8033","3370","780","114","158","35","23","-","3554"
"Ipixuna do Pará (PA)","2010","39954","12062","3615","492","389","172","42","-","23180"
"Irituia (PA)","2010","24427","11365","2106","388","209","102","102","10","10146"
"Itaituba (PA)","2010","78396","28884","11314","3629","2648","1596","305","190","29829"
"Itupiranga (PA)","2010","39246","13711","3679","574","462","319","80","40","20381"
"Jacareacanga (PA)","2010","10780","2476","1797","645","349","180","34","40","5259"
"Jacundá (PA)","2010","41222","15020","5830","943","1062","561","123","96","17587"
"Juruti (PA)","2010","34834","12865","3710","957","597","222","91","40","16352"
"Limoeiro do Ajuru (PA)","2010","18792","7974","1167","187","381","89","-","-","8993"
"Mãe do Rio (PA)","2010","22041","9419","2631","711","486","314","93","16","8372"
"Magalhães Barata (PA)","2010","6408","2787","499","113","90","34","5","-","2878"
"Marabá (PA)","2010","185156","52499","30724","10338","7819","5463","1658","528","76128"
"Maracanã (PA)","2010","22371","10046","1720","384","340","138","42","16","9685"
"Marapanim (PA)","2010","21444","9037","2408","410","438","261","36","-","8853"
"Marituba (PA)","2010","88136","24612","17336","4516","2761","1028","198","56","37630"
"Medicilândia (PA)","2010","21678","8879","2533","596","603","355","60","58","8594"
"Melgaço (PA)","2010","17488","6290","1051","203","136","58","25","-","9726"
"Mocajuba (PA)","2010","20392","8144","1851","349","271","129","23","25","9600"
"Moju (PA)","2010","53321","19963","6475","1160","777","271","72","45","24558"
"Monte Alegre (PA)","2010","43776","17335","3454","810","811","232","59","36","21036"
"Muaná (PA)","2010","25961","10700","2014","334","694","127","14","42","12037"
"Nova Esperança do Piriá (PA)","2010","15008","5481","1116","199","123","104","-","9","7977"
"Nova Ipixuna (PA)","2010","11517","4649","1386","349","191","109","10","21","4802"
"Nova Timboteua (PA)","2010","11267","5316","1068","193","193","107","25","5","4360"
"Novo Progresso (PA)","2010","20160","5420","4421","1676","1030","726","231","127","6529"
"Novo Repartimento (PA)","2010","47605","16481","5184","1153","848","397","74","82","23387"
"Óbidos (PA)","2010","37788","17567","3445","789","478","257","25","31","15197"
"Oeiras do Pará (PA)","2010","20489","8500","1562","489","250","104","25","-","9559"
"Oriximiná (PA)","2010","47557","17321","4662","1420","1031","744","304","133","21942"
"Ourém (PA)","2010","12965","5508","1080","237","144","123","36","30","5806"
"Ourilândia do Norte (PA)","2010","21641","5176","3657","1125","910","433","120","44","10176"
"Pacajá (PA)","2010","30879","10931","2606","640","408","163","170","28","15934"
"Palestina do Pará (PA)","2010","5900","2373","639","151","84","65","20","7","2561"
"Paragominas (PA)","2010","76343","25349","12349","3715","2607","1788","434","202","29900"
"Parauapebas (PA)","2010","122067","27239","22856","10176","8165","4574","1347","434","47275"
"Pau D'Arco (PA)","2010","4903","1894","667","136","86","64","-","-","2056"
"Peixe-Boi (PA)","2010","6409","2797","510","112","95","39","6","3","2846"
"Piçarra (PA)","2010","9989","3742","1221","302","189","78","10","-","4447"
"Placas (PA)","2010","18296","7013","1570","425","288","146","24","14","8815"
"Ponta de Pedras (PA)","2010","20140","7796","1696","280","659","240","48","11","9410"
"Portel (PA)","2010","36518","12194","2958","628","655","221","41","55","19766"
"Porto de Moz (PA)","2010","24330","8161","2366","485","270","121","50","10","12867"
"Prainha (PA)","2010","21788","8124","1149","358","260","59","24","15","11798"
"Primavera (PA)","2010","8322","3647","735","131","93","68","18","16","3615"
"Quatipuru (PA)","2010","9801","4697","785","174","117","89","53","-","3886"
"Redenção (PA)","2010","61296","21822","10611","3000","2349","1648","504","228","21134"
"Rio Maria (PA)","2010","14567","5230","2445","654","456","333","80","25","5343"
"Rondon do Pará (PA)","2010","38161","14808","4724","1078","768","485","168","32","16098"
"Rurópolis (PA)","2010","31154","11693","3089","664","451","129","47","51","15031"
"Salinópolis (PA)","2010","30149","13224","4203","1186","758","405","98","84","10189"
"Salvaterra (PA)","2010","16085","6588","1558","398","400","201","47","3","6890"
"Santa Bárbara do Pará (PA)","2010","13792","5037","1607","328","165","156","26","11","6460"
"Santa Cruz do Arari (PA)","2010","6643","2290","294","63","31","9","13","-","3943"
"Santa Izabel do Pará (PA)","2010","49010","17737","7545","1737","1197","671","154","73","19896"
"Santa Luzia do Pará (PA)","2010","15285","6098","1233","251","105","96","36","10","7455"
"Santa Maria das Barreiras (PA)","2010","13753","5003","1762","306","147","105","35","3","6390"
"Santa Maria do Pará (PA)","2010","18830","9495","2086","340","266","365","50","27","6200"
"Santana do Araguaia (PA)","2010","44738","12105","8370","1763","1065","344","91","35","20965"
"Santarém (PA)","2010","234565","86400","31851","8802","6654","4498","1381","458","94521"
"Santarém Novo (PA)","2010","4829","1691","365","80","47","18","6","2","2620"
"Santo Antônio do Tauá (PA)","2010","21447","8786","2735","818","349","217","57","32","8454"
"São Caetano de Odivelas (PA)","2010","13634","6135","1358","230","162","148","4","-","5596"
"São Domingos do Araguaia (PA)","2010","18130","7666","2598","597","360","153","89","27","6640"
"São Domingos do Capim (PA)","2010","22087","8985","1678","310","168","180","10","23","10732"
"São Félix do Xingu (PA)","2010","73982","16680","11350","3316","1647","1073","377","226","39312"
"São Francisco do Pará (PA)","2010","12355","5391","1431","268","159","100","18","5","4985"
"São Geraldo do Araguaia (PA)","2010","20455","8177","2951","583","288","263","76","18","8099"
"São João da Ponta (PA)","2010","4134","1927","353","59","16","12","9","-","1759"
"São João de Pirabas (PA)","2010","16372","6951","1298","198","175","133","43","5","7569"
"São João do Araguaia (PA)","2010","10279","4299","930","137","85","85","11","4","4727"
"São Miguel do Guamá (PA)","2010","40483","18968","4501","939","665","389","118","39","14865"
"São Sebastião da Boa Vista (PA)","2010","17381","8411","1004","245","257","104","31","9","7320"
"Sapucaia (PA)","2010","4076","1508","764","160","102","78","17","7","1439"
"Senador José Porfírio (PA)","2010","9839","3804","1008","182","147","74","5","7","4613"
"Soure (PA)","2010","18599","7273","2040","499","455","259","69","-","8005"
"Tailândia (PA)","2010","61104","16698","9066","1838","1178","511","160","63","31590"
"Terra Alta (PA)","2010","8270","3340","703","168","75","105","9","5","3866"
"Terra Santa (PA)","2010","13295","5694","1665","262","244","133","45","28","5225"
"Tomé-Açu (PA)","2010","43610","16963","5962","1444","741","391","137","93","17879"
"Tracuateua (PA)","2010","21342","8326","1422","214","217","168","-","11","10984"
"Trairão (PA)","2010","13135","4296","1984","503","394","192","17","9","5739"
"Tucumã (PA)","2010","27179","9650","5165","1214","968","673","274","91","9145"
"Tucuruí (PA)","2010","77053","22407","13481","4464","3282","2044","566","230","30578"
"Ulianópolis (PA)","2010","33585","8267","5434","1229","604","429","106","62","17455"
"Uruará (PA)","2010","34993","11867","5057","1389","804","524","207","35","15111"
"Vigia (PA)","2010","38895","16821","4867","1049","770","432","125","9","14821"
"Viseu (PA)","2010","42145","15900","2772","456","339","140","32","11","22495"
"Vitória do Xingu (PA)","2010","10915","3991","1269","274","129","117","43","18","5073"
"Xinguara (PA)","2010","32787","11088","5453","1574","1125","837","177","130","12405"
"Serra do Navio (AP)","2010","3326","763","546","202","176","97","11","21","1510"
"Amapá (AP)","2010","6206","2150","595","237","156","157","34","21","2857"
"Pedra Branca do Amapari (AP)","2010","8086","2357","1282","480","356","137","44","6","3424"
"Calçoene (AP)","2010","6738","2079","810","247","219","179","42","21","3141"
"Cutias (AP)","2010","3448","1159","316","93","89","60","11","12","1707"
"Ferreira Gomes (AP)","2010","4366","1363","590","176","158","175","27","13","1864"
"Itaubal (AP)","2010","3162","1063","223","64","64","36","10","-","1701"
"Laranjal do Jari (AP)","2010","30688","9420","5488","1472","1090","554","279","75","12310"
"Macapá (AP)","2010","319028","84022","49430","18277","19675","17208","5097","2119","123200"
"Mazagão (AP)","2010","12405","4138","1395","413","358","223","71","31","5776"
"Oiapoque (AP)","2010","15431","3739","2334","838","634","562","200","119","7005"
"Porto Grande (AP)","2010","12781","3770","1938","553","404","288","66","6","5756"
"Pracuúba (AP)","2010","2652","709","266","47","98","36","10","-","1486"
"Santana (AP)","2010","80052","23692","10936","4085","3769","2341","528","192","34511"
"Tartarugalzinho (AP)","2010","9157","2916","649","264","207","174","40","2","4905"
"Vitória do Jari (AP)","2010","9449","2467","1373","379","228","206","10","19","4768"
"Abreulândia (TO)","2010","1887","833","269","63","70","37","4","5","607"
