"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Colônia Leopoldina (AL)","2018","125","123","2126","1996","1780.54","34780","1.6","1502.55"
"Coqueiro Seco (AL)","2018","24","23","614","596","576.38","12914","1.8","1723.46"
"Coruripe (AL)","2018","591","572","11980","11359","11133.69","274261","2.0","1894.88"
"Craíbas (AL)","2018","166","160","2195","2029","2015.76","39292","1.6","1499.42"
"Delmiro Gouveia (AL)","2018","653","631","5597","4867","4752.81","104466","1.8","1690.76"
"Dois Riachos (AL)","2018","60","53","521","474","476.15","11595","2.0","1873.28"
"Estrela de Alagoas (AL)","2018","71","70","760","697","758.11","14869","1.6","1508.72"
"Feira Grande (AL)","2018","138","135","980","872","874.91","22272","2.1","1958.17"
"Feliz Deserto (AL)","2018","39","39","654","614","599.71","11115","1.5","1425.66"
"Flexeiras (AL)","2018","49","49","1096","1032","1023.17","13002","1.0","977.51"
"Girau do Ponciano (AL)","2018","248","243","1178","944","933.76","17823","1.5","1468.29"
"Ibateguara (AL)","2018","109","108","764","656","690.50","16765","2.0","1867.67"
"Igaci (AL)","2018","156","143","1316","1192","1180.49","25841","1.8","1683.87"
"Igreja Nova (AL)","2018","111","109","3735","3662","2675.41","49284","1.5","1417.01"
"Inhapi (AL)","2018","80","78","784","700","691.78","15659","1.8","1741.26"
"Jacaré dos Homens (AL)","2018","42","40","270","228","241.31","5016","1.7","1598.87"
"Jacuípe (AL)","2018","36","36","624","591","622.21","12266","1.6","1516.39"
"Japaratinga (AL)","2018","111","108","881","760","737.88","14336","1.6","1494.55"
"Jaramataia (AL)","2018","41","41","563","533","501.11","9692","1.6","1487.82"
"Jequiá da Praia (AL)","2018","64","64","1164","1096","1168.68","21099","1.5","1388.77"
"Joaquim Gomes (AL)","2018","134","133","1615","1490","1454.22","31722","1.8","1678.00"
"Jundiá (AL)","2018","26","26","462","438","417.98","7212","1.4","1327.29"
"Junqueiro (AL)","2018","228","225","2644","2401","2464.40","50377","1.6","1572.46"
"Lagoa da Canoa (AL)","2018","90","85","992","911","925.05","20304","1.8","1688.40"
"Limoeiro de Anadia (AL)","2018","132","128","1987","1839","1811.00","34350","1.5","1459.01"
"Maceió (AL)","2018","19222","17841","267119","243314","243550.21","8511579","2.8","2688.30"
"Major Isidoro (AL)","2018","154","148","1093","943","940.89","19745","1.7","1614.25"
"Maragogi (AL)","2018","406","404","5262","4745","4582.58","101247","1.8","1699.54"
"Maravilha (AL)","2018","52","50","363","326","326.54","8868","2.2","2089.00"
"Marechal Deodoro (AL)","2018","693","683","11008","10196","9426.01","318497","2.7","2599.16"
"Maribondo (AL)","2018","128","125","998","860","841.56","18438","1.8","1685.35"
"Mar Vermelho (AL)","2018","22","22","318","308","308.17","5001","1.3","1248.40"
"Mata Grande (AL)","2018","92","89","860","771","760.24","15983","1.7","1617.24"
"Matriz de Camaragibe (AL)","2018","175","174","4667","4481","4032.67","60394","1.2","1152.01"
"Messias (AL)","2018","133","133","1436","1297","1301.60","27021","1.7","1596.93"
"Minador do Negrão (AL)","2018","46","46","428","383","377.15","6801","1.5","1387.02"
"Monteirópolis (AL)","2018","41","39","521","484","469.58","9459","1.6","1549.49"
"Murici (AL)","2018","263","256","2781","2488","2436.64","53037","1.8","1674.34"
"Novo Lino (AL)","2018","91","90","987","889","904.16","16850","1.5","1433.57"
"Olho d'Água das Flores (AL)","2018","297","295","2260","1968","1898.51","38118","1.6","1544.44"
"Olho d'Água do Casado (AL)","2018","33","32","667","630","608.19","14639","1.9","1851.55"
"Olho d'Água Grande (AL)","2018","29","29","278","264","262.32","5588","1.7","1638.54"
"Olivença (AL)","2018","57","57","701","671","658.21","13891","1.7","1623.34"
"Ouro Branco (AL)","2018","79","79","556","484","486.96","10694","1.8","1689.30"
"Palestina (AL)","2018","22","22","289","276","276.99","6794","2.0","1886.89"
"Palmeira dos Índios (AL)","2018","1053","1019","8865","7786","7637.66","179956","1.9","1812.44"
"Pão de Açúcar (AL)","2018","168","167","2563","2370","2230.55","41833","1.5","1442.67"
"Pariconha (AL)","2018","50","50","718","675","649.94","15052","1.9","1781.51"
"Paripueira (AL)","2018","169","168","1270","1060","1054.78","20226","1.5","1475.03"
"Passo de Camaragibe (AL)","2018","87","87","1157","1045","1058.71","23287","1.8","1691.94"
"Paulo Jacinto (AL)","2018","56","56","600","557","562.93","10278","1.5","1404.43"
"Penedo (AL)","2018","785","754","7310","6522","6402.45","163661","2.1","1966.32"
"Piaçabuçu (AL)","2018","120","115","1158","1049","1042.24","21592","1.7","1593.62"
"Pilar (AL)","2018","309","307","4518","4164","3843.15","133827","2.8","2678.63"
"Pindoba (AL)","2018","12","12","353","346","338.96","6074","1.4","1378.39"
"Piranhas (AL)","2018","204","197","2741","2518","2350.72","59935","2.1","1961.25"
"Poço das Trincheiras (AL)","2018","57","57","761","725","699.85","17453","2.0","1918.31"
"Porto Calvo (AL)","2018","342","338","3725","3358","3077.20","60861","1.6","1521.38"
"Porto de Pedras (AL)","2018","59","59","842","769","758.61","13250","1.4","1343.59"
"Porto Real do Colégio (AL)","2018","91","89","782","696","699.59","19391","2.2","2132.17"
"Quebrangulo (AL)","2018","84","81","688","624","623.16","15190","2.0","1875.08"
"Rio Largo (AL)","2018","824","807","15294","14391","11946.62","256750","1.7","1653.19"
"Roteiro (AL)","2018","36","36","699","667","616.10","12723","1.7","1588.56"
"Santa Luzia do Norte (AL)","2018","42","42","933","897","985.67","23807","1.9","1857.94"
"Santana do Ipanema (AL)","2018","536","514","4875","4304","4350.16","107462","2.0","1900.23"
"Santana do Mundaú (AL)","2018","93","89","896","807","788.13","16971","1.7","1656.45"
"São Brás (AL)","2018","23","23","386","373","370.52","8076","1.8","1676.68"
"São José da Laje (AL)","2018","172","171","5874","5723","4677.99","85260","1.5","1401.98"
"São José da Tapera (AL)","2018","175","169","2001","1838","2203.67","49788","1.8","1737.95"
"São Luís do Quitunde (AL)","2018","205","202","8129","7912","7475.97","104513","1.1","1075.37"
"São Miguel dos Campos (AL)","2018","653","639","10993","10304","8878.06","211054","1.9","1828.66"
"São Miguel dos Milagres (AL)","2018","87","86","1174","1076","1006.88","19476","1.6","1487.91"
"São Sebastião (AL)","2018","257","241","2019","1770","1759.96","44921","2.1","1963.39"
"Satuba (AL)","2018","155","155","1691","1518","1490.57","46246","2.5","2386.60"
"Senador Rui Palmeira (AL)","2018","34","34","616","596","596.07","15540","2.1","2005.48"
"Tanque d'Arca (AL)","2018","27","26","406","384","429.59","8500","1.6","1522.03"
"Taquarana (AL)","2018","188","185","1062","867","882.98","23155","2.1","2017.22"
"Teotônio Vilela (AL)","2018","386","378","5119","4726","4757.16","113030","1.9","1827.69"
"Traipu (AL)","2018","100","99","1597","1507","1472.88","30636","1.7","1599.99"
"União dos Palmares (AL)","2018","660","640","5442","4759","4658.72","98474","1.7","1625.97"
"Viçosa (AL)","2018","228","221","2810","2532","2455.43","52884","1.7","1656.73"
"Amparo do São Francisco (SE)","2018","28","25","385","365","348.77","8465","2.0","1866.97"
"Aquidabã (SE)","2018","171","165","1876","1666","1675.72","34137","1.6","1567.05"
"Aracaju (SE)","2018","16323","15236","232679","211821","209824.68","8231503","3.2","3017.72"
"Arauá (SE)","2018","59","58","665","604","671.37","17984","2.2","2060.51"
"Areia Branca (SE)","2018","95","95","1146","1041","1032.83","28739","2.2","2140.45"
"Barra dos Coqueiros (SE)","2018","307","300","3933","3584","3557.43","120694","2.7","2609.80"
"Boquim (SE)","2018","217","211","2297","2051","1946.10","55974","2.3","2212.47"
"Brejo Grande (SE)","2018","35","35","628","599","528.29","12037","1.8","1752.73"
"Campo do Brito (SE)","2018","256","252","1964","1670","1661.60","37706","1.8","1745.58"
"Canhoba (SE)","2018","18","17","358","348","338.35","8668","2.1","1970.66"
"Canindé de São Francisco (SE)","2018","328","318","3126","2751","2702.75","90880","2.7","2586.53"
"Capela (SE)","2018","204","199","4508","4294","3644.21","83115","1.8","1754.42"
"Carira (SE)","2018","238","234","1789","1479","1475.58","40410","2.2","2106.59"
"Carmópolis (SE)","2018","192","189","2584","2417","2759.52","84562","2.5","2357.22"
"Cedro de São João (SE)","2018","47","46","463","417","426.76","8966","1.7","1616.07"
"Cristinápolis (SE)","2018","139","133","1718","1587","1558.31","38667","2.0","1908.71"
"Cumbe (SE)","2018","31","31","406","377","440.86","9101","1.7","1587.95"
"Divina Pastora (SE)","2018","21","21","578","558","525.73","14841","2.3","2171.51"
"Estância (SE)","2018","912","867","10472","9404","9274.31","256985","2.2","2131.49"
"Feira Nova (SE)","2018","41","41","397","357","398.82","10384","2.1","2002.75"
"Frei Paulo (SE)","2018","215","207","2337","2156","2131.27","40624","1.5","1466.23"
"Gararu (SE)","2018","62","60","667","613","606.12","17321","2.3","2198.23"
"General Maynard (SE)","2018","23","23","380","364","373.04","8931","1.9","1841.65"
"Gracho Cardoso (SE)","2018","44","44","411","377","379.31","8801","1.9","1784.82"
"Ilha das Flores (SE)","2018","51","49","554","508","511.87","11642","1.8","1749.60"
"Indiaroba (SE)","2018","72","68","1122","1053","1073.38","30895","2.3","2214.09"
"Itabaiana (SE)","2018","2113","2003","17586","14607","14975.06","300729","1.6","1544.77"
"Itabaianinha (SE)","2018","386","376","3779","3297","3201.69","72307","1.8","1737.23"
"Itabi (SE)","2018","42","41","431","396","392.97","9318","1.9","1824.04"
"Itaporanga d'Ajuda (SE)","2018","272","265","5740","5466","4430.85","128283","2.3","2227.09"
"Japaratuba (SE)","2018","119","115","2006","1881","1867.68","150561","6.5","6201.08"
"Japoatã (SE)","2018","105","101","1376","1273","1331.05","31935","1.9","1845.58"
"Lagarto (SE)","2018","1306","1234","14966","13393","13086.45","284807","1.8","1674.12"
"Laranjeiras (SE)","2018","210","206","6594","6379","5604.21","223632","3.2","3069.56"
"Macambira (SE)","2018","84","84","743","665","648.38","55231","6.9","6552.49"
"Malhada dos Bois (SE)","2018","42","42","700","662","634.07","12370","1.6","1500.67"
"Malhador (SE)","2018","65","64","675","620","615.16","16993","2.2","2124.87"
"Maruim (SE)","2018","117","116","1853","1740","1681.83","47040","2.3","2151.51"
"Moita Bonita (SE)","2018","143","139","873","715","710.87","16397","1.9","1774.35"
"Monte Alegre de Sergipe (SE)","2018","82","81","895","827","737.37","21523","2.4","2245.31"
"Muribeca (SE)","2018","57","56","994","940","922.83","23999","2.1","2000.48"
"Neópolis (SE)","2018","219","214","2280","2058","2041.34","45899","1.8","1729.58"
"Nossa Senhora Aparecida (SE)","2018","74","69","859","791","1001.79","20779","1.7","1595.49"
"Nossa Senhora da Glória (SE)","2018","517","494","5285","4713","4529.48","103980","1.9","1765.87"
"Nossa Senhora das Dores (SE)","2018","290","278","3533","3189","2395.92","59060","2.0","1896.19"
"Nossa Senhora de Lourdes (SE)","2018","55","55","482","423","391.11","9740","2.0","1915.69"
"Nossa Senhora do Socorro (SE)","2018","1440","1367","22125","20532","19952.95","527363","2.1","2033.10"
"Pacatuba (SE)","2018","58","56","1265","1220","1156.84","35789","2.5","2379.73"
"Pedra Mole (SE)","2018","19","19","220","211","224.90","6288","2.3","2150.67"
"Pedrinhas (SE)","2018","51","51","501","451","504.90","13514","2.2","2058.86"
"Pinhão (SE)","2018","53","52","457","400","409.30","11636","2.3","2186.90"
"Pirambu (SE)","2018","68","67","878","818","944.19","28069","2.4","2286.77"
"Poço Redondo (SE)","2018","178","175","2627","2293","1961.65","46084","1.9","1807.12"
"Poço Verde (SE)","2018","227","213","1854","1616","1789.37","43942","2.0","1889.02"
"Porto da Folha (SE)","2018","230","226","1793","1572","1511.14","40738","2.2","2073.72"
"Propriá (SE)","2018","519","482","4479","3911","3708.63","92308","2.0","1914.62"
"Riachão do Dantas (SE)","2018","61","55","1338","1288","1176.83","31077","2.1","2031.33"
"Riachuelo (SE)","2018","51","50","1440","1396","1358.49","35288","2.1","1998.15"
"Ribeirópolis (SE)","2018","254","242","1997","1705","1739.32","42584","2.0","1883.30"
"Rosário do Catete (SE)","2018","88","84","2189","2126","2265.59","124993","4.4","4243.87"
"Salgado (SE)","2018","203","197","1615","1390","1511.15","32236","1.7","1640.92"
"Santa Luzia do Itanhy (SE)","2018","28","26","879","860","1019.21","25096","2.0","1894.11"
"Santana do São Francisco (SE)","2018","53","53","524","476","494.33","13544","2.2","2107.60"
"Santa Rosa de Lima (SE)","2018","22","22","509","496","476.36","11789","2.0","1903.75"
"Santo Amaro das Brotas (SE)","2018","71","70","765","693","659.48","19938","2.4","2325.65"
"São Cristóvão (SE)","2018","799","772","14290","13362","12944.49","578440","3.6","3437.40"
"São Domingos (SE)","2018","106","99","921","813","782.29","15846","1.6","1558.15"
"São Francisco (SE)","2018","25","24","455","432","414.42","9426","1.8","1749.71"
"São Miguel do Aleixo (SE)","2018","26","26","414","392","381.83","7898","1.7","1591.22"
"Simão Dias (SE)","2018","412","393","4844","4357","4284.51","91021","1.7","1634.17"
"Siriri (SE)","2018","39","39","780","744","717.47","21552","2.4","2310.66"
"Telha (SE)","2018","21","21","331","314","367.38","7990","1.8","1673.00"
"Tobias Barreto (SE)","2018","898","854","5280","4142","4150.82","96422","1.9","1786.89"
"Tomar do Geru (SE)","2018","95","91","826","728","751.16","18389","2.0","1883.18"
"Umbaúba (SE)","2018","252","247","2354","2019","2391.64","51070","1.7","1642.57"
"Abaíra (BA)","2018","199","197","660","497","465.98","8887","1.5","1466.97"
"Abaré (BA)","2018","96","94","1096","993","1001.30","24088","1.9","1850.54"
"Acajutiba (BA)","2018","119","118","894","785","791.47","18646","1.9","1812.23"
"Adustina (BA)","2018","84","83","895","779","795.86","19814","2.0","1915.07"
"Água Fria (BA)","2018","95","89","1413","1318","1268.17","30920","2.0","1875.49"
"Érico Cardoso (BA)","2018","85","83","591","533","664.12","11458","1.4","1327.13"
"Aiquara (BA)","2018","31","31","407","378","376.61","8849","1.9","1807.51"
"Alagoinhas (BA)","2018","2360","2273","27387","24618","24870.21","691121","2.2","2137.62"
"Alcobaça (BA)","2018","204","201","1726","1513","1624.19","35617","1.8","1686.88"
"Almadina (BA)","2018","44","44","410","349","350.14","7600","1.8","1669.74"
"Amargosa (BA)","2018","484","474","4090","3510","3553.41","64940","1.5","1405.81"
"Amélia Rodrigues (BA)","2018","243","241","2890","2622","2687.32","67615","2.0","1935.43"
"América Dourada (BA)","2018","74","74","620","542","576.56","15928","2.2","2125.01"
"Anagé (BA)","2018","227","220","1444","1197","1258.83","28644","1.8","1750.32"
"Andaraí (BA)","2018","145","139","1248","1128","1123.43","22500","1.6","1540.60"
"Andorinha (BA)","2018","111","111","1974","1868","2058.81","88407","3.5","3303.14"
"Angical (BA)","2018","93","91","1054","949","997.96","21546","1.7","1660.75"
"Anguera (BA)","2018","59","58","984","924","854.92","11874","1.1","1068.38"
"Antas (BA)","2018","94","91","960","852","893.49","20314","1.8","1748.90"
"Antônio Cardoso (BA)","2018","39","38","670","639","765.81","17926","1.9","1800.62"
"Antônio Gonçalves (BA)","2018","77","77","651","586","586.32","9238","1.3","1211.94"
"Aporá (BA)","2018","98","96","975","873","849.97","17629","1.7","1595.48"
"Apuarema (BA)","2018","49","47","391","342","386.76","11515","2.4","2290.23"
"Aracatu (BA)","2018","148","145","1173","992","1241.18","21528","1.4","1334.23"
"Araçás (BA)","2018","81","79","899","809","1168.32","20975","1.4","1381.01"
"Araci (BA)","2018","503","501","3387","2757","2883.90","77195","2.2","2059.04"
"Aramari (BA)","2018","63","62","648","576","596.72","12053","1.6","1553.77"
"Arataca (BA)","2018","52","52","913","859","899.83","18464","1.7","1578.44"
"Aratuípe (BA)","2018","39","39","507","468","463.64","9284","1.6","1540.37"
"Aurelino Leal (BA)","2018","78","78","891","815","881.53","19411","1.8","1693.86"
"Baianópolis (BA)","2018","74","72","856","770","856.82","20157","1.9","1809.66"
"Baixa Grande (BA)","2018","261","260","1301","1088","1135.12","29684","2.1","2011.61"
"Banzaê (BA)","2018","137","135","925","761","814.48","20573","2.0","1943.02"
"Barra (BA)","2018","489","482","2993","2503","2489.92","66647","2.2","2058.99"
"Barra da Estiva (BA)","2018","610","602","2265","1685","1846.39","39349","1.7","1639.32"
"Barra do Choça (BA)","2018","495","491","2455","1921","1992.60","61443","2.5","2371.95"
"Barra do Mendes (BA)","2018","184","184","827","683","678.73","12398","1.5","1405.10"
"Barra do Rocha (BA)","2018","32","32","608","570","443.57","10687","1.9","1853.38"
"Barreiras (BA)","2018","3902","3724","32052","26936","27006.80","760989","2.3","2167.52"
"Barro Alto (BA)","2018","111","108","750","650","650.60","14414","1.8","1704.26"
"Barrocas (BA)","2018","126","126","1704","1570","1571.89","75675","3.9","3703.27"
"Barro Preto (BA)","2018","39","38","554","521","537.60","13838","2.1","1980.05"
"Belmonte (BA)","2018","212","206","1693","1452","1586.03","44817","2.3","2173.65"
"Belo Campo (BA)","2018","150","149","1077","882","866.61","17769","1.7","1577.27"
"Biritinga (BA)","2018","209","207","1100","947","1081.76","24800","1.8","1763.52"
"Boa Nova (BA)","2018","124","122","870","779","801.71","18764","1.9","1800.34"
"Boa Vista do Tupim (BA)","2018","119","116","1103","978","1024.23","22726","1.8","1706.80"
"Bom Jesus da Lapa (BA)","2018","1430","1382","8695","7025","7283.44","177710","2.0","1876.86"
"Bom Jesus da Serra (BA)","2018","60","59","497","444","485.88","11416","1.9","1807.34"
"Boninal (BA)","2018","142","141","870","762","777.37","17299","1.8","1711.74"
"Bonito (BA)","2018","116","116","797","679","744.88","16819","1.8","1736.87"
"Boquira (BA)","2018","243","242","1596","1359","1389.59","29697","1.7","1643.94"
"Botuporã (BA)","2018","92","92","439","341","337.43","9956","2.4","2269.64"
"Brejões (BA)","2018","111","111","980","854","914.29","20299","1.8","1707.86"
"Brejolândia (BA)","2018","77","75","557","492","493.36","7947","1.3","1239.06"
"Brotas de Macaúbas (BA)","2018","160","159","577","442","483.49","11997","2.0","1908.78"
"Brumado (BA)","2018","1851","1804","15620","13284","13225.44","332887","2.0","1936.17"
"Buerarema (BA)","2018","152","149","1388","1214","1180.74","25230","1.7","1643.66"
"Buritirama (BA)","2018","86","86","1071","986","1125.19","24950","1.8","1705.69"
"Caatiba (BA)","2018","53","53","711","655","717.38","12548","1.4","1345.50"
"Cabaceiras do Paraguaçu (BA)","2018","114","113","1142","1024","1024.41","23507","1.9","1765.18"
"Cachoeira (BA)","2018","385","370","3879","3444","3440.69","86688","2.0","1938.07"
"Caculé (BA)","2018","631","615","3514","2852","2816.08","52889","1.5","1444.71"
"Caém (BA)","2018","49","49","616","560","559.41","14206","2.0","1953.43"
"Caetanos (BA)","2018","100","98","772","661","634.01","11255","1.4","1365.56"
"Caetité (BA)","2018","1100","1074","6555","5258","5923.00","137364","1.9","1783.97"
"Cafarnaum (BA)","2018","223","218","1035","854","879.74","25451","2.3","2225.36"
"Cairu (BA)","2018","575","553","3730","3099","3132.73","61749","1.6","1516.24"
"Caldeirão Grande (BA)","2018","101","101","955","832","971.43","16001","1.3","1267.05"
"Camacan (BA)","2018","544","533","3037","2382","2490.96","61399","2.0","1896.06"
"Camaçari (BA)","2018","4811","4554","78139","72559","72463.39","3547852","3.9","3766.20"
"Camamu (BA)","2018","435","428","2668","2226","2563.09","58482","1.8","1755.16"
"Campo Alegre de Lourdes (BA)","2018","294","289","1525","1241","1250.54","31786","2.0","1955.20"
"Campo Formoso (BA)","2018","1078","1062","5359","4372","4388.18","130522","2.4","2288.00"
"Canápolis (BA)","2018","73","73","833","761","765.21","12800","1.3","1286.75"
"Canarana (BA)","2018","273","265","1484","1264","1266.43","30505","1.9","1852.85"
"Canavieiras (BA)","2018","443","434","2787","2123","2315.56","50368","1.8","1673.23"
"Candeal (BA)","2018","45","44","537","489","477.90","10014","1.7","1611.84"
"Candeias (BA)","2018","1216","1177","15945","14566","14492.28","569978","3.2","3025.37"
"Candiba (BA)","2018","172","171","974","587","608.71","15594","2.1","1970.66"
"Cândido Sales (BA)","2018","279","273","1805","1503","1485.37","37014","2.0","1916.87"
"Cansanção (BA)","2018","526","520","2450","2012","2091.37","44857","1.7","1649.88"
"Canudos (BA)","2018","145","144","902","752","758.67","18523","2.0","1878.09"
"Capela do Alto Alegre (BA)","2018","103","102","794","699","704.24","17420","2.0","1902.80"
"Capim Grosso (BA)","2018","858","836","4608","3614","3604.77","70107","1.6","1496.04"
"Caraíbas (BA)","2018","87","85","661","566","557.48","7406","1.1","1021.93"
"Caravelas (BA)","2018","175","173","2259","2058","2067.35","52015","2.0","1935.40"
"Cardeal da Silva (BA)","2018","64","62","652","579","580.06","13859","1.9","1837.91"
"Carinhanha (BA)","2018","234","230","1483","1253","1281.14","34543","2.2","2074.07"
"Casa Nova (BA)","2018","454","447","7613","7163","7822.10","162662","1.7","1599.63"
"Castro Alves (BA)","2018","290","282","3168","2887","3422.32","76253","1.8","1713.92"
"Catolândia (BA)","2018","36","36","385","347","363.47","7416","1.6","1569.56"
"Catu (BA)","2018","710","690","8220","7243","6929.71","251776","2.9","2794.84"
"Caturama (BA)","2018","67","66","330","256","258.45","4829","1.5","1437.15"
"Central (BA)","2018","91","91","948","855","924.35","24025","2.1","1999.34"
"Chorrochó (BA)","2018","66","66","445","384","451.33","12152","2.2","2071.17"
"Cícero Dantas (BA)","2018","484","472","2621","2068","2186.87","54819","2.0","1928.25"
"Cipó (BA)","2018","180","178","1158","959","1004.03","24130","1.9","1848.70"
"Coaraci (BA)","2018","303","300","1978","1624","1651.72","37123","1.8","1728.87"
"Cocos (BA)","2018","208","205","2615","2375","2299.95","53761","1.9","1798.07"
"Conceição da Feira (BA)","2018","217","211","1980","1721","1865.18","39368","1.7","1623.60"
"Conceição do Almeida (BA)","2018","146","145","1932","1763","1977.22","35704","1.5","1389.06"
"Conceição do Coité (BA)","2018","1135","1101","6965","5708","5901.63","114313","1.6","1489.97"
"Conceição do Jacuípe (BA)","2018","1289","1281","9024","7126","7136.34","160811","1.8","1733.40"
"Conde (BA)","2018","212","205","1978","1725","1730.95","60106","2.8","2671.09"
"Condeúba (BA)","2018","228","224","1946","1689","1857.27","33300","1.4","1379.19"
"Contendas do Sincorá (BA)","2018","40","40","339","292","299.97","6151","1.7","1577.35"
"Coração de Maria (BA)","2018","228","223","2186","1935","1892.22","35844","1.5","1457.13"
"Cordeiros (BA)","2018","85","84","620","526","519.55","10422","1.6","1542.98"
"Coribe (BA)","2018","78","74","842","769","774.73","17745","1.8","1761.88"
"Coronel João Sá (BA)","2018","83","83","1113","1016","1139.76","26819","1.9","1810.03"
"Correntina (BA)","2018","531","510","4958","4368","4451.60","138320","2.5","2390.15"
"Cotegipe (BA)","2018","74","73","1067","982","981.18","20726","1.7","1624.90"
"Cravolândia (BA)","2018","34","34","384","357","354.58","7075","1.6","1534.86"
"Crisópolis (BA)","2018","141","139","1258","1101","1090.21","26068","1.9","1839.32"
"Cristópolis (BA)","2018","70","69","647","572","557.79","13937","2.0","1921.98"
"Cruz das Almas (BA)","2018","1322","1298","13133","11506","11995.63","423437","2.8","2715.33"
"Curaçá (BA)","2018","301","295","2693","2495","2430.43","69355","2.3","2195.09"
"Dário Meira (BA)","2018","50","48","850","801","793.67","19198","2.0","1860.67"
"Dias d'Ávila (BA)","2018","1178","1149","14981","13760","13581.28","486448","2.9","2755.19"
"Dom Basílio (BA)","2018","152","151","950","800","792.83","16847","1.7","1634.58"
"Dom Macedo Costa (BA)","2018","35","35","329","291","284.02","5094","1.4","1379.54"
"Elísio Medrado (BA)","2018","62","62","503","436","485.82","7415","1.2","1174.02"
"Encruzilhada (BA)","2018","188","184","1354","1159","1364.63","32903","1.9","1854.69"
"Entre Rios (BA)","2018","638","624","4592","3867","4195.50","144037","2.8","2640.87"
"Esplanada (BA)","2018","460","450","4808","4254","4339.17","103395","1.9","1832.94"
"Euclides da Cunha (BA)","2018","876","853","4687","3707","3741.04","103009","2.2","2118.06"
"Eunápolis (BA)","2018","2410","2323","23495","20507","21016.81","603465","2.3","2208.73"
"Fátima (BA)","2018","132","130","1011","884","959.37","26544","2.2","2128.30"
"Feira da Mata (BA)","2018","51","51","384","340","348.33","7004","1.6","1546.69"
"Feira de Santana (BA)","2018","14718","13921","133325","114883","115108.12","2872634","2.0","1919.69"
"Filadélfia (BA)","2018","189","188","1090","884","890.79","22199","2.0","1916.99"
"Firmino Alves (BA)","2018","91","90","953","859","883.70","15040","1.4","1309.22"
"Floresta Azul (BA)","2018","72","72","745","653","634.54","12653","1.6","1533.84"
"Formosa do Rio Preto (BA)","2018","350","340","2847","2411","2572.17","72538","2.3","2169.32"
"Gandu (BA)","2018","493","487","3434","2837","2848.59","59037","1.7","1594.23"
"Gavião (BA)","2018","46","46","395","364","371.83","7065","1.5","1461.67"
"Gentio do Ouro (BA)","2018","68","68","707","647","796.57","20028","2.0","1934.04"
"Glória (BA)","2018","103","103","1070","932","931.17","18734","1.6","1547.62"
"Gongogi (BA)","2018","52","52","599","549","550.23","10195","1.5","1425.29"
"Governador Mangabeira (BA)","2018","214","212","2938","2732","2582.59","51884","1.6","1545.39"
"Guajeru (BA)","2018","94","94","616","568","574.52","10997","1.5","1472.37"
"Guanambi (BA)","2018","2567","2500","14578","11319","11119.41","276908","2.0","1915.62"
"Guaratinga (BA)","2018","115","113","1361","1254","1371.99","36329","2.1","2036.86"
"Heliópolis (BA)","2018","145","143","839","725","758.57","17590","1.9","1783.73"
"Iaçu (BA)","2018","278","277","2284","1967","1979.61","37159","1.5","1443.91"
"Ibiassucê (BA)","2018","165","162","934","767","791.78","14339","1.5","1393.08"
"Ibicaraí (BA)","2018","374","371","2344","1948","2035.74","44993","1.8","1700.11"
"Ibicoara (BA)","2018","339","334","2438","2103","2429.71","56864","1.9","1800.29"
"Ibicuí (BA)","2018","221","221","1574","1330","1338.78","26618","1.6","1529.42"
"Ibipeba (BA)","2018","130","128","883","753","754.37","16062","1.7","1637.85"
"Ibipitanga (BA)","2018","224","219","1027","793","870.07","14397","1.3","1272.80"
"Ibiquera (BA)","2018","22","22","232","214","242.75","3537","1.2","1120.86"
"Ibirapitanga (BA)","2018","121","119","1284","1153","1228.79","33537","2.2","2099.44"
"Ibirapuã (BA)","2018","89","86","1783","1693","1740.03","40432","1.9","1787.43"
"Ibirataia (BA)","2018","177","173","1855","1616","1667.30","38095","1.8","1757.55"
"Ibitiara (BA)","2018","170","170","690","521","561.32","13554","1.9","1857.43"
"Ibititá (BA)","2018","110","108","804","720","736.15","15881","1.7","1659.51"
"Ibotirama (BA)","2018","529","516","2981","2400","2404.85","55892","1.9","1787.80"
"Ichu (BA)","2018","57","57","527","451","447.23","9735","1.8","1674.41"
"Igaporã (BA)","2018","189","189","1268","1078","1175.65","23810","1.6","1557.88"
"Igrapiúna (BA)","2018","60","60","1434","1360","1365.74","30099","1.8","1695.29"
"Iguaí (BA)","2018","240","236","1698","1470","1503.29","33290","1.8","1703.45"
"Ilhéus (BA)","2018","3373","3161","35350","31210","30490.73","963126","2.5","2429.81"
"Inhambupe (BA)","2018","270","266","3594","3285","2705.13","59988","1.8","1705.82"
"Ipecaetá (BA)","2018","53","53","1072","1016","999.04","14429","1.2","1111.03"
"Ipiaú (BA)","2018","897","877","5259","4186","4220.04","91879","1.8","1674.78"
"Ipirá (BA)","2018","946","919","7567","6493","6515.58","136581","1.7","1612.48"
"Ipupiara (BA)","2018","264","262","1018","781","780.69","13297","1.4","1310.18"
