"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Rio Branco (AC)","2018","5600","5177","103258","97533","99947.12","4176130","3.4","3214.11"
"Rodrigues Alves (AC)","2018","36","35","859","825","804.79","18579","1.9","1775.80"
"Santa Rosa do Purus (AC)","2018","11","11","255","249","248.62","6602","2.1","2042.65"
"Senador Guiomard (AC)","2018","165","163","1668","1516","1670.73","38405","1.9","1768.23"
"Sena Madureira (AC)","2018","298","290","2172","1888","2263.01","49816","1.8","1693.32"
"Tarauacá (AC)","2018","277","264","2240","1964","2036.96","51050","2.0","1927.85"
"Xapuri (AC)","2018","156","151","792","652","689.66","16474","1.9","1837.45"
"Porto Acre (AC)","2018","64","63","900","840","816.61","20666","2.0","1946.68"
"Alvarães (AM)","2018","49","48","665","627","744.04","13370","1.4","1382.30"
"Amaturá (AM)","2018","20","19","551","537","521.77","12914","2.0","1903.94"
"Anamã (AM)","2018","24","24","471","457","526.51","10947","1.7","1599.42"
"Anori (AM)","2018","77","76","752","681","665.36","16145","2.0","1866.51"
"Apuí (AM)","2018","232","227","1179","958","909.64","21669","1.9","1832.44"
"Atalaia do Norte (AM)","2018","15","15","1339","1329","1328.02","26800","1.6","1552.35"
"Autazes (AM)","2018","112","102","2328","2218","2428.96","51843","1.7","1641.81"
"Barcelos (AM)","2018","66","65","1128","1064","1183.90","23670","1.6","1537.94"
"Barreirinha (AM)","2018","124","121","1207","1090","1081.11","22826","1.7","1624.14"
"Benjamin Constant (AM)","2018","78","77","2446","2375","2327.35","52413","1.8","1732.36"
"Beruri (AM)","2018","58","57","1167","1119","1113.96","24498","1.8","1691.68"
"Boa Vista do Ramos (AM)","2018","72","70","1245","1209","1126.98","22205","1.6","1515.60"
"Boca do Acre (AM)","2018","186","180","2132","1942","2031.53","40720","1.6","1541.85"
"Borba (AM)","2018","83","76","2188","2106","2260.19","53623","1.9","1824.99"
"Caapiranga (AM)","2018","13","13","915","907","897.66","16103","1.4","1379.93"
"Canutama (AM)","2018","60","60","580","525","514.07","9705","1.5","1452.24"
"Carauari (AM)","2018","174","171","1124","963","1168.47","27501","1.9","1810.43"
"Careiro (AM)","2018","130","127","1518","1404","1496.34","40325","2.2","2073.03"
"Careiro da Várzea (AM)","2018","26","26","1100","1079","983.83","22276","1.8","1741.68"
"Coari (AM)","2018","450","442","8074","7714","7267.96","263728","2.9","2791.26"
"Codajás (AM)","2018","40","38","1029","983","1092.26","23690","1.7","1668.37"
"Eirunepé (AM)","2018","132","129","1748","1614","1634.24","29719","1.5","1398.88"
"Envira (AM)","2018","63","62","1139","1088","1033.61","20118","1.6","1497.24"
"Fonte Boa (AM)","2018","138","135","1910","1778","1814.99","29297","1.3","1241.69"
"Guajará (AM)","2018","21","21","687","670","661.02","11442","1.4","1331.52"
"Humaitá (AM)","2018","596","586","3532","2909","3108.09","74432","1.9","1842.15"
"Ipixuna (AM)","2018","28","27","334","317","315.85","7449","1.9","1814.09"
"Iranduba (AM)","2018","341","334","4583","4204","4754.86","111485","1.9","1803.58"
"Itacoatiara (AM)","2018","856","808","10227","9293","9871.34","239552","2.0","1866.72"
"Itamarati (AM)","2018","48","48","763","724","638.87","12778","1.6","1538.53"
"Itapiranga (AM)","2018","43","41","498","460","562.67","13150","1.9","1797.71"
"Japurá (AM)","2018","24","24","689","672","645.78","11016","1.4","1312.22"
"Juruá (AM)","2018","31","31","823","799","756.45","13857","1.5","1409.16"
"Jutaí (AM)","2018","69","67","825","774","773.24","14312","1.5","1423.82"
"Lábrea (AM)","2018","187","179","2100","1925","1795.00","41763","1.9","1789.70"
"Manacapuru (AM)","2018","587","567","6178","5522","5615.84","129860","1.9","1778.76"
"Manaquiri (AM)","2018","47","45","1027","991","976.97","21572","1.8","1698.52"
"Manaus (AM)","2018","25755","22960","507738","478264","476194.65","18683209","3.2","3018.03"
"Manicoré (AM)","2018","471","454","1993","1491","1507.22","35964","1.9","1835.50"
"Maraã (AM)","2018","24","24","735","720","688.62","13316","1.6","1487.47"
"Maués (AM)","2018","448","429","3613","3261","3353.05","74451","1.8","1707.99"
"Nhamundá (AM)","2018","37","35","905","874","978.25","18437","1.5","1449.73"
"Nova Olinda do Norte (AM)","2018","132","130","2101","2009","1834.33","32779","1.4","1374.60"
"Novo Airão (AM)","2018","93","92","1205","1109","1056.62","23781","1.8","1731.27"
"Novo Aripuanã (AM)","2018","129","127","1253","1157","1025.20","19920","1.6","1494.64"
"Parintins (AM)","2018","668","630","6580","5862","6401.87","147509","1.9","1772.42"
"Pauini (AM)","2018","27","27","923","907","907.93","21697","1.9","1838.29"
"Presidente Figueiredo (AM)","2018","214","208","5951","5711","5553.60","234341","3.4","3245.86"
"Rio Preto da Eva (AM)","2018","116","115","1756","1641","1631.74","38789","1.9","1828.59"
"Santa Isabel do Rio Negro (AM)","2018","26","24","839","823","800.78","16135","1.6","1549.89"
"Santo Antônio do Içá (AM)","2018","68","64","1335","1299","1255.52","22277","1.4","1364.87"
"São Gabriel da Cachoeira (AM)","2018","239","228","2632","2408","2325.18","51343","1.8","1698.55"
"São Paulo de Olivença (AM)","2018","30","30","1916","1894","1781.38","40345","1.8","1742.19"
"São Sebastião do Uatumã (AM)","2018","39","38","614","574","563.72","13431","1.9","1832.73"
"Silves (AM)","2018","27","26","492","466","472.36","11605","2.0","1889.88"
"Tabatinga (AM)","2018","269","258","3432","3163","3267.08","81016","2.0","1907.51"
"Tapauá (AM)","2018","47","47","1431","1388","1269.46","23688","1.5","1435.35"
"Tefé (AM)","2018","448","417","7043","6607","6492.75","142141","1.8","1684.02"
"Tonantins (AM)","2018","55","54","910","879","829.66","16534","1.6","1533.00"
"Uarini (AM)","2018","37","34","770","745","1055.91","17752","1.4","1293.26"
"Urucará (AM)","2018","119","118","825","728","1017.02","23432","1.9","1772.28"
"Urucurituba (AM)","2018","73","72","917","849","1082.04","22962","1.7","1632.39"
"Amajari (RR)","2018","24","24","525","508","544.67","9246","1.4","1305.79"
"Alto Alegre (RR)","2018","63","62","881","809","863.92","16714","1.6","1488.22"
"Boa Vista (RR)","2018","5821","5296","96171","90195","90285.89","4045731","3.6","3446.94"
"Bonfim (RR)","2018","48","48","773","724","762.80","16441","1.7","1657.99"
"Cantá (RR)","2018","100","98","1045","907","1031.84","20278","1.6","1511.74"
"Caracaraí (RR)","2018","112","111","1446","1339","1414.44","35655","2.0","1939.09"
"Caroebe (RR)","2018","45","44","537","494","506.33","10058","1.6","1527.96"
"Iracema (RR)","2018","42","41","544","503","572.82","10849","1.5","1456.93"
"Mucajaí (RR)","2018","132","128","1082","949","1096.56","20057","1.5","1406.97"
"Normandia (RR)","2018","21","21","504","489","651.75","12837","1.6","1515.08"
"Pacaraima (RR)","2018","115","109","716","591","654.60","14231","1.8","1672.35"
"Rorainópolis (RR)","2018","281","279","2417","2120","2335.48","48198","1.7","1587.48"
"São João da Baliza (RR)","2018","56","55","702","654","618.40","12964","1.7","1612.65"
"São Luiz (RR)","2018","48","48","622","581","507.88","9071","1.4","1373.95"
"Uiramutã (RR)","2018","14","14","265","256","431.48","8419","1.6","1500.96"
"Abaetetuba (PA)","2018","1061","1008","11542","10421","10018.53","223641","1.8","1717.13"
